,School/Club Team
Chicago State (Sr.),4
Benetton Treviso (Italy),4
Ohio (Sr.),4
Syracuse (Jr.),4
Georgia (So.),4
Auburn (Fr.),4
Arkansas (Jr.),4
Niagara (Sr.),4
CSKA Moscow (Russia),4
East Tennessee State (Sr.),4
Morehead State (Sr.),4
LSU (Fr.),4
Oklahoma Christian (Sr.),4
Efes Pilsen (Turkey),4
Marshall (Sr.),4
Union Olimpija (Slovenia),4
Cibona Zagreb (Croatia),4
Florida State (Fr.),4
Catawba (Sr.),4
Hawaii (Sr.),4
Southern Miss (Sr.),4
Red Star Belgrade (Serbia),4
Florida State (Jr.),4
Villanova (So.),4
William & Mary (Sr.),4
Portland (Sr.),4
North Park (Sr.),4
Hampton (Sr.),4
Mississippi (Sr.),4
Wisconsin (Jr.),4
Norfolk State (Sr.),4
Iowa State (Jr.),4
Michigan State (Fr.),4
Gardner–Webb (Sr.),4
New Zealand Breakers (Australia),4
San Diego (Sr.),4
Florida Southern (Sr.),4
Purdue (Jr.),4
Mercer (Sr.),4
California (Jr.),4
American (Sr.),4
Pepperdine (Jr.),4
Pau-Orthez (France),4
Appalachian State (Sr.),4
Seattle (Sr.),4
Virginia Union (Sr.),4
North Carolina A&T (Sr.),4
Maryland (Jr.),4
Louisiana–Monroe (Sr.),4
Duquesne (Sr.),4
Briar Cliff (Sr.),4
St. Mary's (Texas) (Sr.),4
Kentucky State (Sr.),4
Indiana (Fr.),4
Northern Illinois (Sr.),4
Arkansas (Fr.),4
Georgia Tech (Jr.),4
Olympiacos (Greece),3
Georgia Tech (So.),3
Washington (Jr.),3
College of Charleston (Sr.),3
Cincinnati (Fr.),3
West Virginia Wesleyan (Sr.),3
UC Riverside (Sr.),3
UT Arlington (Sr.),3
Pennsylvania (Sr.),3
Loyola (IL) (Sr.),3
UNLV (Fr.),3
Linfield (Sr.),3
Georgetown (Jr.),3
Pittsburgh (So.),3
St. Augustine's (Sr.),3
Bucknell (Sr.),3
UIC (Sr.),3
Oregon (Jr.),3
Eastern Kentucky (Sr.),3
Virtus Bologna (Italy),3
Gonzaga (Fr.),3
Budućnost Podgorica (Serbia and Montenegro and Adriatic League),3
Baloncesto Sevilla (Spain),3
West Texas State (Sr.),3
North Carolina Central (Sr.),3
Arizona State (Jr.),3
Alabama (So.),3
Marquette (Jr.),3
Detroit Mercy (Sr.),3
USC Upstate (Sr.),3
Texas Southern (Sr.),3
Rice (Sr.),3
Stanford (So.),3
Monmouth (Sr.),3
Texas (Jr.),3
Arkansas–Little Rock (Sr.),3
Delaware (Sr.),3
Fresno State (Jr.),3
UNC Charlotte (Sr.),3
Alabama (Jr.),3
Ball State (Sr.),3
Fairleigh Dickinson (Sr.),3
Olimpija Ljubljana (Slovenia),3
Miami (Ohio) (Sr.),3
California (So.),3
New Mexico (Jr.),3
Northwestern State (Sr.),3
Merrimack (Sr.),3
Mega Vizura (Serbia),3
Vanderbilt (Jr.),3
Cholet Basket (France),3
Wake Forest (Jr.),3
Auburn (So.),3
Maccabi Tel Aviv (Israel),3
Baylor (Jr.),3
Georgetown (So.),3
Chaminade (Sr.),3
Oklahoma State (Jr.),3
Auburn (Jr.),3
San Diego State (Jr.),3
SMU (Jr.),3
Northeast Louisiana (Sr.),3
Arkansas State (Sr.),3
Ratiopharm Ulm (Germany),3
Colorado (So.),3
Oklahoma City (Sr.),3
Žalgiris Kaunas (Lithuania),3
California (Fr.),3
Memphis (So.),3
Stanford (Jr.),3
Green Bay (Sr.),3
Davidson (Sr.),3
Tennessee Tech (Sr.),3
PAOK (Greece),3
East Carolina (Sr.),3
Notre Dame (Jr.),3
UConn (So.),3
Creighton (Jr.),3
Puget Sound (Sr.),3
Northern Arizona (Sr.),3
Villanova (Fr.),3
Indiana State (Sr.),3
KK Partizan (Yugoslavia),3
Villanova (Jr.),3
Western Carolina (Sr.),3
KK Split (Yugoslavia),3
Indiana (Jr.),3
Harvard (Sr.),3
San Diego State (So.),2
New Hampshire (Sr.),2
Albany State (Sr.),2
Washington State (Jr.),2
NC State (So.),2
Cedevita Zagreb (Croatia),2
Colorado State (Jr.),2
Memphis State (Jr.),2
Fordham (Sr.),2
Xavier (So.),2
West Virginia (So.),2
Miami (OH) (Sr.),2
Akron (Sr.),2
Oklahoma State (So.),2
Élan Chalon (France),2
UDC (Sr.),2
Mississippi State (Jr.),2
Michigan State (Jr.),2
Wisconsin (So.),2
CB Gran Canaria (Spain),2
Oklahoma (Fr.),2
Illinois (So.),2
Memphis (Jr.),2
Hartford (Sr.),2
Wisconsin–Parkside (Sr.),2
Victoria (Sr.),2
Nebraska (Jr.),2
Valparaiso (Sr.),2
Louisiana Tech,2
Louisiana Tech (Jr.),2
Liberty (Sr.),2
Gonzaga (So.),2
Massachusetts (Sr.),2
Oklahoma (So.),2
Pittsburgh (Fr.),2
Miami (FL) (Sr.),2
Cairns Taipans (Australia),2
Temple (Jr.),2
Fenerbahçe Ülker (Turkey),2
Miami (FL) (So.),2
LIU Brooklyn (Sr.),2
Bentley (Sr.),2
Clemson (Jr.),2
Gipuzkoa Basket (Spain),2
Washington (So.),2
Cincinnati (Jr.),2
Ohio (Jr.),2
Dayton (Jr.),2
Oklahoma Panhandle State (Sr.),2
Kansas State (Fr.),2
Indian Hills CC (So.),2
NC State (Fr.),2
Marist (Sr.),2
Nevada (So.),2
Kansas (So.),2
Providence (So.),2
Brigham Young (Sr.),2
"South Kent School (South Kent, Connecticut)",2
Partizan Belgrade (Sinalco Superleague and Adriatic League),2
George Fox (Sr.),2
Missouri (Jr.),2
USC (So.),2
Millersville (Sr.),2
Minnesota (Fr.),2
Washington State (So.),2
Mississippi State (So.),2
