Rank,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
223,Cory Jefferson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Daniel Oturu,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
223,Tony Parker,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Paul Watson,FA,F,139.9,139.93,-,-,-,-,-1.0,,,21
223,Raymond Felton,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Alec Brown,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
223,J.J. Barea,FA,G,139.9,139.93,-,-,-,-,-1.0,,,21
223,Udonis Haslem,FA,C,139.9,139.93,-,-,-,-,-1.0,,,21
223,Willie Reed,FA,C,139.9,139.9,-,-,-,-,-1.0,,,21
223,Tyler Johnson,FA,G,139.9,139.91,-,-,-,-,-1.0,,,21
223,Beno Udrih,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,JaKarr Sampson,FA,F,139.9,139.88,-,-,-,-,-1.0,,,21
223,DeAndre Daniels,FA,F,139.9,139.85,-,-,-,-,-1.0,,,21
223,Isaiah Thomas,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Mason Jones,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Elijah Hughes,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Tarik Black,FA,C,139.9,139.87,-,-,-,-,-1.0,,,21
223,Garrison Mathews,ATL,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Derrick Williams,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
223,Ersan Ilyasova,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
223,D.J. Augustin,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Marshall Plumlee,FA,C,139.9,139.87,-,-,-,-,-1.0,,,21
223,Juwan Morgan,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
223,Alfonzo McKinnie,FA,F,139.9,139.88,-,-,-,-,-1.0,,,21
223,Nico Mannion,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Ben McLemore,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Elliot Williams,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Brodric Thomas,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Jarnell Stokes,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
223,Gabe Vincent,LAL,G,139.9,139.87,-,-,-,-,-1.0,,,21
223,Richard Jefferson,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
223,Wesley Matthews,ATL,G,139.9,139.86,-,-,-,-,-1.0,,,21
223,J.R. Smith,FA,G,139.9,139.86,-,-,-,-,-1.0,,,21
223,Jeremy Lin,FA,G,139.9,139.86,-,-,-,-,0.01,,,21
223,Ish Smith,FA,G,139.9,139.85,-,-,-,-,-1.0,,,21
223,Grant Williams,DAL,F,139.9,139.85,-,-,-,-,0.01,,,21
223,Torrey Craig,CHI,F,139.9,139.85,-,-,-,-,-1.0,,,21
223,Stanley Johnson,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
223,Timothe Luwawu-Cabarrot,FA,F,139.9,139.88,-,-,-,-,-1.0,,,21
223,Deron Williams,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
223,Jared Dudley,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
223,Ron Baker,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,David Stockton,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,Rodney Stuckey,FA,G,139.9,139.89,-,-,-,-,-1.0,,,21
223,Jarrod Uthoff,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
223,Alpha Kaba,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
223,Steve Blake,FA,G,139.9,139.89,-,-,-,-,-1.0,,,21
223,Solomon Hill,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
223,Damien Wilkins,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
223,Alex Kirk,FA,C,139.9,139.9,-,-,-,-,-1.0,,,21
223,Kendrick Perkins,FA,C,139.9,139.89,-,-,-,-,-1.0,,,21
223,Pablo Prigioni,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,Paul Reed,PHI,F,139.9,139.88,-,-,-,-,-1.0,,,21
223,Ognjen Jaramaz,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
223,Tim Quarterman,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
223,Matt Williams,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
223,Ed Davis,FA,C,139.9,139.88,-,-,-,-,-1.0,,,21
223,Ryan Kelly,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
223,Aaron Craft,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
223,Thanasis Antetokounmpo,MIL,F,139.9,139.88,-,-,-,-,0.02,,,21
223,Antonio Blakeney,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
377,Nate Darling,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Sam Merrill,CLE,G,140.0,140,-,-,-,-,-1.0,,,21
377,Richard Solomon,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Cassius Stanley,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Omari Spellman,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Mindaugas Kuzminskas,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Ben Bentil,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Melvin Frazier,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Yante Maten,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Mamadi Diakite,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Naz Mitrou-Long,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Rawle Alkins,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Thomas Welsh,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Vincent Edwards,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Tyler Bey,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Sean McDermott,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Marcelinho Huertas,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Marques Bolden,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Josh Huestis,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Shabazz Muhammad,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Alex Abrines,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Damjan Rudez,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Cliff Alexander,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Dakari Johnson,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Sean Kilpatrick,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Alan Williams,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Luis Montero,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Duje Dukan,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,T.J. Leaf,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Anthony Brown,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Michael Frazier,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Andre Dawkins,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Thon Maker,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Amir Coffey,LAC,F,140.0,140,-,-,-,-,-1.0,,,21
377,Nigel Hayes-Davis,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Kalin Lucas,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Nick Johnson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Iman Shumpert,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Justin Harper,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Tyler Hansbrough,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jeff Ayres,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Evan Turner,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Monta Ellis,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,P.J. Hairston,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Sergio Rodriguez,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Kevin Martin,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Rasual Butler,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Channing Frye,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Ty Lawson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Alexis Ajinca,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Orlando Johnson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Thabo Sefolosha,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Deyonta Davis,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,John Holland,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Arturas Gudaitis,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Tyler Ennis,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,James Ennis,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Larry Drew,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Chris Copeland,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,John Jenkins,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Aaron Holiday,HOU,G,140.0,140.04,-,-,-,-,-1.0,,,21
377,Darius Miller,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jerian Grant,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Will Cherry,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Dario Saric,GSW,F,140.0,140.03,-,-,-,-,0.06,,,21
377,Jerrelle Benimon,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jarell Eddie,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Justin Anderson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Salah Mejri,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Dani Diez,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Elie Okobo,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Norvel Pelle,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Ben Moore,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jason Smith,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Bobby Brown,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Ramon Sessions,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Nikola Mirotic,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jon Leuer,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,DeAndre Liggins,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Scotty Hopson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,James Anderson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Greivis Vasquez,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Brandon Knight,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Gerald Henderson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Dante Cunningham,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Alonzo Gee,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Tyler Harvey,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Darrun Hilliard,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Juan Vaulet,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jordan Farmar,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Dimitrios Agravanis,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Andrea Bargnani,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Marcin Gortat,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Myke Henry,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jaylen Adams,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Donte Grantham,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Chris Chiozza,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Ryan Broekhoff,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Allonzo Trier,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Malik Newman,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Keljin Blevins,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Justinian Jessup,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Josh Green,DAL,F,140.0,140,-,-,-,-,-1.0,,,21
377,Brian Bowen,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Haywood Highsmith,MIA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Leandro Barbosa,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Chris Andersen,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Drew Gooden,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Alan Anderson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jerryd Bayless,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jonathon Simmons,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jabari Brown,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Marcus Georges-Hunt,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Kyle Collinsworth,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Devin Robinson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Tyler Dorsey,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Arnoldas Kulboka,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jonas Jerebko,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Larry Sanders,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Manny Harris,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,MarShon Brooks,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Terrence Jones,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Nene Hilario,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Dahntay Jones,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Gerald Green,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Randy Foye,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Spencer Hawes,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Jonathan Gibson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Demetrius Jackson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Brice Johnson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Kevin Hervey,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Aaron Harrison,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Marcus Eriksson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Shane Larkin,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Nicolo Melli,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Zach Lofton,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Justin Robinson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jalen Harris,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Dakota Mathias,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jemerrio Jones,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Vanja Marinkovic,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Milton Doyle,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Kenneth Faried,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Jaylen Morris,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Cody Demps,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Zhaire Smith,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Wayne Selden,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Norris Cole,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jordan Loyd,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,DeJuan Blair,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Amir Johnson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Isaac Humphries,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Ian Mahinmi,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Kris Humphries,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Matt Barnes,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Boris Diaw,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,John Lucas,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Chris Kaman,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Georgios Papagiannis,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Kobi Simmons,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Isaiah Cousins,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Zhou Qi,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Petr Cornelie,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Daniel Hamilton,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Zoran Dragic,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Nikola Pekovic,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Ryan Anderson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Miles Plumlee,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Okaro White,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jameel Warney,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Nicolas Brussino,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Sasha Vezenkov,SAC,F,140.0,140,-,-,-,-,-1.0,,,21
377,Andrew White,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jordan Crawford,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Kevin Seraphin,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Greg Monroe,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Darren Collison,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Andrew Goudelock,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Chandler Parsons,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Lucas Nogueira,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Robert Sacre,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Quincy Acy,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Justin Hamilton,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Cady Lalanne,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Noah Vonleh,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Matthew Dellavedova,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Joffrey Lauvergne,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Brandon Sampson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Marcus Derrickson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Gary Clark,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Cam Reynolds,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jaylen Hands,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Keenan Evans,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jahlil Okafor,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Isaiah Hicks,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Daryl Macon,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jamel Artis,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jonah Bolden,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Caleb Swanigan,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Tahjere McCall,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Nicolas Laprovittola,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Josh Magette,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Wenyen Gabriel,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Dusty Hannahs,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jared Terrell,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Vernon Carey,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Tyler Davis,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Andrew Harrison,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Keith Appling,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Ty Jerome,CLE,G,140.0,140,-,-,-,-,-1.0,,,21
377,Archie Goodwin,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,John Henson,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Kendall Marshall,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Trey McKinney-Jones,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Marko Guduric,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Cody Martin,CHA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Bruno Fernando,ATL,C,140.0,140,-,-,-,-,-1.0,,,21
377,Dean Wade,CLE,F,140.0,140,-,-,-,-,-1.0,,,21
377,Yam Madar,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Deng Adel,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Nick Richards,CHA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Joe Chealey,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jordan Hill,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Billy Garrett,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Killian Tillie,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,K.J. McDaniels,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jordan Bone,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Goga Bitadze,ORL,C,140.0,140,-,-,-,-,-1.0,,,21
377,Angel Delgado,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Joel Berry,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Udoka Azubuike,PHO,C,140.0,140,-,-,-,-,-1.0,,,21
377,Isaiah Taylor,FA,G,140.0,140.01,-,-,-,-,-1.0,,,21
377,Ashton Hagans,POR,G,140.0,140,-,-,-,-,-1.0,,,21
377,Milos Teodosic,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Rodions Kurucs,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,A.J. Hammons,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Matt Costello,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Vincent Poirier,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,C.J. Williams,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Tyler Lydon,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jack Cooley,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Grant Jerrett,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Allen Crabbe,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jamal Crawford,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Charlie Villanueva,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Nick Collison,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Brandon Rush,FA,G,140.0,140.01,-,-,-,-,-1.0,,,21
377,JJ Hickson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Aaron Brooks,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,David Lee,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jose Calderon,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Coty Clarke,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Dragan Bender,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Kay Felder,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Ante Zizic,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Malachi Richardson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Scott Machado,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Brian Roberts,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,R.J. Hunter,CHA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Davon Reed,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Antonius Cleveland,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Ray Spalding,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Ronnie Price,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Chase Budinger,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Kosta Koufos,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Courtney Lee,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Michael Kidd-Gilchrist,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Lavoy Allen,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Gary Neal,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Donatas Motiejunas,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Lance Stephenson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Lou Amundson,FA,C,140.0,140,-,-,-,-,-1.0,,,21
377,Nate Hinton,HOU,F,140.0,140,-,-,-,-,-1.0,,,21
377,Issuf Sanon,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Josh Hall,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jalen McDaniels,TOR,F,140.0,140,-,-,-,-,-1.0,,,21
377,Caleb Martin,MIA,F,140.0,140,-,-,-,-,-1.0,,,21
377,C.J. Miles,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Xavier Rathan-Mayes,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Andre Miller,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Jameer Nelson,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Khyri Thomas,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Chris McCullough,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Luka Mitrovic,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Quinn Cook,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Rashad Vaughn,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Joel Bolomboy,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Jordan Adams,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Cleanthony Early,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Erick Green,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Isaiah Canaan,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Vander Blue,FA,G,140.0,140,-,-,-,-,-1.0,,,21
377,Andrew Nicholson,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Drew Gordon,FA,F,140.0,140,-,-,-,-,-1.0,,,21
377,Eric Griffin,FA,F,140.0,140,-,-,-,-,-1.0,,,21
