Rank,Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
69,Jusuf Nurkic,POR,C,75.6,122,60.6,69.6,50.2,-,0.63,,,21
70,OG Anunoby,TOR,F,75.8,118.47,81.02,51.8,52.1,-,0.53,,,21
71,Evan Mobley,CLE,F,76.1,-,94.7,45.3,88.4,-,-1.0,,,21
72,Caris LeVert,CLE,G,78.7,87.03,62.05,104.4,61.2,-,2.76,,,21
73,Jaren Jackson,MEM,F,78.9,139.71,64.63,44.9,66.3,-,0.06,,,21
74,RJ Barrett,NYK,F,80.5,116.79,63.83,82.3,59.1,-,0.61,,,21
75,Mike Conley,MIN,G,83.3,72.46,70.23,101.6,88.8,-,7.31,,,21
76,Jamal Murray,DEN,G,83.7,42.7,96.76,72.4,122.9,-,15.9,,,21
77,Scottie Barnes,TOR,F,86.0,-,122.17,53.9,81.9,-,-1.0,,,21
78,Richaun Holmes,DAL,C,87.2,82.77,82.21,100.9,82.8,-,4.04,,,21
79,Tyler Herro,MIA,G,88.0,93.59,96.77,70.4,91.3,-,2.02,,,21
80,Mikal Bridges,BKN,F,88.3,95.62,105.58,76.7,75.1,-,1.81,,,21
81,Buddy Hield,IND,G,88.6,106.96,77.03,85.2,85.2,-,0.76,,,21
82,Josh Giddey,OKC,G,90.7,-,125.09,53.9,93.1,-,-1.0,,,21
83,Kevin Porter,HOU,G,91.5,135.46,78.63,103.4,48.7,-,0.15,,,21
84,Marcus Smart,MEM,G,93.3,92.06,108.62,77.1,95.4,-,2.42,,,21
85,Robert Williams,BOS,C,93.7,134.29,111.83,36.3,92.3,-,0.46,,,21
86,Klay Thompson,GSW,G,94.1,139.02,93.62,77,66.6,-,-1.0,,,21
87,Keldon Johnson,SAS,F,94.4,124.49,76.36,104.8,71.9,-,0.67,,,21
88,Kemba Walker,FA,G,94.7,85.23,67.68,146.4,79.3,-,3.72,,,21
89,Spencer Dinwiddie,BKN,G,95.4,139.7,59,114.3,68.5,-,0.02,,,21
90,Jalen Suggs,ORL,G,95.7,-,79.45,125.9,81.8,-,-1.0,,,21
91,Harrison Barnes,SAC,F,97.6,93.56,96.2,110.2,90.4,-,2.12,,,21
92,Robert Covington,LAC,F,102.0,98.16,111.23,104.4,94.2,-,1.19,,,21
93,Kyle Kuzma,WAS,F,103.6,135.08,93.35,101.9,84.2,-,0.58,,,21
94,Aaron Gordon,DEN,F,103.8,113.5,81.98,139.3,80.4,-,1.0,,,21
95,Miles Bridges,CHA,F,104.0,136.63,113.25,78.9,87.1,-,0.12,,,21
96,Andre Drummond,CHI,C,105.1,92.01,96.76,135,96.8,-,2.25,,,21
97,Derrick White,BOS,G,105.4,134.7,81.87,120.4,84.5,-,0.45,,,21
98,Jordan Clarkson,UTA,G,106.1,103.44,98.28,121.3,101.5,-,1.27,,,21
99,P.J. Washington,CHA,F,107.5,104.91,104.15,109.4,111.4,-,1.15,,,21
99,Jakob Poeltl,TOR,C,107.5,139.72,115.62,70.9,103.9,-,0.16,,,21
101,Al Horford,BOS,C,108.5,80.81,111.63,84.8,156.7,-,5.02,,,21
102,Jordan Poole,WAS,G,109.4,139.34,123.82,73.4,100.9,-,0.07,,,21
103,Norman Powell,LAC,G,109.6,113.61,111.7,97.1,115.8,-,1.29,,,21
104,Wendell Carter,ORL,C,109.8,119.7,100.03,90.7,128.7,-,0.92,,,21
105,Bojan Bogdanovic,DET,F,110.3,131.1,91.14,121,98.1,-,0.48,,,21
106,Saddiq Bey,ATL,F,111.0,139.45,111.3,89.5,103.7,-,0.06,,,21
107,Lauri Markkanen,UTA,F,111.3,126.84,87.84,117.8,112.8,-,0.56,,,21
108,Isaiah Stewart,DET,C,111.4,140.2,111.02,106.4,88.1,-,0.02,,,21
109,Bogdan Bogdanovic,ATL,G,111.7,139.81,98.59,96.1,112.4,-,0.03,,,21
110,Devonte' Graham,SAS,G,112.9,103.84,102.87,138.5,106.2,-,1.24,,,21
111,Steven Adams,MEM,C,113.2,109.03,91.01,140.6,112,-,0.92,,,21
112,Chris Boucher,TOR,F,114.0,91.39,122.69,123.2,118.8,-,2.16,,,21
113,Dennis Schroder,TOR,G,115.2,112.12,93.9,146,108.9,-,1.09,,,21
114,John Wall,FA,G,116.1,75.25,128.48,120.5,140,-,5.25,,,21
115,Montrezl Harrell,PHI,C,116.6,91.02,120.25,134.2,121,-,2.7,,,21
116,Mitchell Robinson,NYK,C,116.9,118.33,128.8,88.7,131.7,-,0.74,,,21
117,Tyrese Maxey,PHI,G,117.0,139.89,134.63,68.1,125.5,-,-1.0,,,21
118,Kelly Oubre,FA,F,118.6,78.85,130.58,143.9,120.9,-,3.47,,,21
118,Nickeil Alexander-Walker,MIN,G,118.6,140.25,119.39,-,96.2,-,0.04,,,21
120,Evan Fournier,NYK,G,119.3,101.44,110.06,138.1,127.5,-,1.54,,,21
121,Tim Hardaway,DAL,G,121.0,131.37,111.03,136.5,105,-,0.54,,,21
122,Reggie Jackson,DEN,G,122.1,139.99,108.34,122.8,117.4,-,0.06,,,21
123,Eric Bledsoe,FA,G,122.6,111.36,130.6,-,125.8,-,0.93,,,21
