"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","THT","Oct 3, 2023 2:00:18"
"*03al2*",1,2,2,"C","Joel Embiid","PHI","LebronDaGoat","Oct 3, 2023 2:11:50"
"*04kj6*",1,3,3,"G","Luka Doncic","DAL","Donkey is Cute","Oct 3, 2023 2:28:05"
"*05qtv*",1,4,4,"G","Tyrese Haliburton","IND","Luck of the Green","Oct 3, 2023 2:45:14"
"*04qro*",1,5,5,"G","Shai Gilgeous-Alexander","OKC","new team 119","Oct 3, 2023 9:45:29"
"*031m2*",1,6,6,"F","Giannis Antetokounmpo","MIL","Death Triangle Offense","Oct 3, 2023 9:45:30"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","All Gas No Brakes","Oct 4, 2023 4:46:02"
"*02nf1*",1,8,8,"F","Anthony Davis","LAL","Religulous LV","Oct 4, 2023 4:47:17"
"*02nf6*",1,9,9,"G","Damian Lillard","MIL","Belco Big Dogs","Oct 4, 2023 9:39:06"
"*05qto*",1,10,10,"G","LaMelo Ball","CHA","Illuminati Bees","Oct 4, 2023 9:41:53"
"*05qug*",1,11,11,"G","Anthony Edwards","MIN","Snoopadelics","Oct 4, 2023 1:07:55"
"*01enh*",1,12,12,"G","Stephen Curry","GS","new team 69","Oct 4, 2023 1:08:56"
"*001aw*",2,1,13,"F","Kevin Durant","PHO","new team 69","Oct 4, 2023 1:09:00"
"*04ewe*",2,2,14,"G","Donovan Mitchell","CLE","Snoopadelics","Oct 4, 2023 1:17:29"
"*042n7*",2,3,15,"C","Domantas Sabonis","SAC","Illuminati Bees","Oct 4, 2023 1:18:02"
"*04qrk*",2,4,16,"G","Trae Young","ATL","Belco Big Dogs","Oct 4, 2023 2:01:48"
"*027oj*",2,5,17,"G","Kyrie Irving","DAL","Religulous LV","Oct 4, 2023 2:03:04"
"*03nwm*",2,6,18,"G","Devin Booker","PHO","All Gas No Brakes","Oct 4, 2023 2:17:31"
"*0011e*",2,7,19,"F","LeBron James","LAL","Death Triangle Offense","Oct 4, 2023 2:17:33"
"*027pe*",2,8,20,"F","Jimmy Butler","MIA","new team 119","Oct 4, 2023 5:11:35"
"*01eo6*",2,9,21,"G","James Harden","PHI","Luck of the Green","Oct 4, 2023 5:12:26"
"*027oz*",2,10,22,"F","Kawhi Leonard","LAC","Donkey is Cute","Oct 4, 2023 5:21:19"
"*042nm*",2,11,23,"F","Pascal Siakam","TOR","LebronDaGoat","Oct 4, 2023 5:22:16"
"*04qrn*",2,12,24,"F","Mikal Bridges","BKN","THT","Oct 4, 2023 6:13:51"
"*049kb*",3,1,25,"G","De'Aaron Fox","SAC","new team 69","Oct 4, 2023 6:15:08"
"*03ad3*",3,2,26,"C","Karl-Anthony Towns","MIN","Snoopadelics","Oct 4, 2023 6:16:03"
"*04qsa*",3,3,27,"G","Jalen Brunson","NY","Illuminati Bees","Oct 4, 2023 10:46:30"
"*04ewf*",3,4,28,"C","Bam Adebayo","MIA","Belco Big Dogs","Oct 4, 2023 10:55:12"
"*04azw*",3,5,29,"F","Lauri Markkanen","UTA","Religulous LV","Oct 4, 2023 11:16:48"
"*051ol*",3,6,30,"G","Darius Garland","CLE","All Gas No Brakes","Oct 4, 2023 11:19:49"
"*05uib*",3,7,31,"G","Cade Cunningham","DET","Death Triangle Offense","Oct 5, 2023 6:06:02"
"*042nq*",3,8,32,"G","Dejounte Murray","ATL","new team 119","Oct 5, 2023 6:18:55"
"*04qrj*",3,9,33,"C","Jaren Jackson","MEM","Luck of the Green","Oct 5, 2023 8:02:50"
"*05qt3*",3,10,34,"G","Desmond Bane","MEM","Donkey is Cute","Oct 5, 2023 11:01:31"
"*051oh*",3,11,35,"F","Zion Williamson","NO","LebronDaGoat","Oct 5, 2023 11:30:18"
"*04848*",3,12,36,"G","Fred VanVleet","HOU","THT","Oct 5, 2023 1:53:08"
"*01uyj*",4,1,37,"F","Paul George","LAC","THT","Oct 5, 2023 1:53:23"
"*06cch*",4,2,38,"F","Victor Wembanyama","SA","LebronDaGoat","Oct 5, 2023 2:16:45"
"*05uid*",4,3,39,"C","Evan Mobley","CLE","Donkey is Cute","Oct 5, 2023 2:17:02"
"*03ajv*",4,4,40,"F","Julius Randle","NY","Luck of the Green","Oct 5, 2023 2:21:32"
"*042n4*",4,5,41,"G","Jamal Murray","DEN","new team 119","Oct 5, 2023 4:57:47"
"*03ams*",4,6,42,"G","Zach LaVine","CHI","Death Triangle Offense","Oct 5, 2023 4:57:48"
"*051p8*",4,7,43,"G","Jordan Poole","WAS","All Gas No Brakes","Oct 5, 2023 5:01:56"
"*03lls*",4,8,44,"F","Jaylen Brown","BOS","Religulous LV","Oct 5, 2023 5:34:58"
"*03el5*",4,9,45,"F","Kristaps Porzingis","BOS","Belco Big Dogs","Oct 5, 2023 6:03:24"
"*051pb*",4,10,46,"C","Nicolas Claxton","BKN","Illuminati Bees","Oct 5, 2023 6:03:25"
"*042n1*",4,11,47,"F","Brandon Ingram","NO","Snoopadelics","Oct 5, 2023 6:06:19"
"*01eon*",4,12,48,"G","DeMar DeRozan","CHI","new team 69","Oct 5, 2023 6:39:07"
"*027p0*",5,1,49,"C","Nikola Vucevic","CHI","new team 69","Oct 5, 2023 6:40:44"
"*05uiq*",5,2,50,"C","Alperen Sengun","HOU","Snoopadelics","Oct 5, 2023 6:50:13"
"*05qsq*",5,3,51,"G","Tyrese Maxey","PHI","Illuminati Bees","Oct 5, 2023 6:50:14"
"*01eo9*",5,4,52,"G","Jrue Holiday","BOS","Belco Big Dogs","Oct 5, 2023 7:01:54"
