"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","Big Nik Energy","Oct 3, 2023 2:00:23"
"*03al2*",1,2,2,"C","Joel Embiid","PHI","KnockOut","Oct 3, 2023 2:05:32"
"*04kj6*",1,3,3,"G","Luka Doncic","DAL","LucaB7","Oct 3, 2023 3:15:08"
"*05qtv*",1,4,4,"G","Tyrese Haliburton","IND","Pittsburgh Force","Oct 3, 2023 3:34:22"
"*04qro*",1,5,5,"G","Shai Gilgeous-Alexander","OKC","Dem Juggalo$","Oct 3, 2023 5:31:30"
"*03xmv*",1,6,6,"F","Jayson Tatum","BOS","NewStarburySmell","Oct 3, 2023 11:22:37"
"*031m2*",1,7,7,"F","Giannis Antetokounmpo","MIL","Axiom_28_Points","Oct 4, 2023 1:43:28"
"*02nf1*",1,8,8,"F","Anthony Davis","LAL","HK Kings","Oct 4, 2023 2:19:40"
"*01enh*",1,9,9,"G","Stephen Curry","GS","PullUpShootin","Oct 4, 2023 6:07:17"
"*05qto*",1,10,10,"G","LaMelo Ball","CHA","Ascension","Oct 4, 2023 8:46:09"
"*05qug*",1,11,11,"G","Anthony Edwards","MIN","Zooexpress","Oct 4, 2023 12:10:24"
"*001aw*",1,12,12,"F","Kevin Durant","PHO","Sternhold","Oct 4, 2023 12:13:53"
"*02nf6*",2,1,13,"G","Damian Lillard","MIL","Sternhold","Oct 4, 2023 12:14:02"
"*042n7*",2,2,14,"C","Domantas Sabonis","SAC","Zooexpress","Oct 4, 2023 12:19:41"
"*04qrk*",2,3,15,"G","Trae Young","ATL","Ascension","Oct 4, 2023 1:05:45"
"*027oj*",2,4,16,"G","Kyrie Irving","DAL","PullUpShootin","Oct 4, 2023 1:15:04"
"*03nwm*",2,5,17,"G","Devin Booker","PHO","HK Kings","Oct 4, 2023 1:19:55"
"*049kb*",2,6,18,"G","De'Aaron Fox","SAC","Axiom_28_Points","Oct 4, 2023 1:59:50"
"*04ewe*",2,7,19,"G","Donovan Mitchell","CLE","NewStarburySmell","Oct 4, 2023 2:28:46"
"*027pe*",2,8,20,"F","Jimmy Butler","MIA","Dem Juggalo$","Oct 4, 2023 3:43:02"
"*01eo6*",2,9,21,"G","James Harden","PHI","Pittsburgh Force","Oct 4, 2023 3:51:12"
"*027oz*",2,10,22,"F","Kawhi Leonard","LAC","LucaB7","Oct 4, 2023 3:57:55"
"*0011e*",2,11,23,"F","LeBron James","LAL","KnockOut","Oct 4, 2023 4:02:16"
"*05uib*",2,12,24,"G","Cade Cunningham","DET","Big Nik Energy","Oct 4, 2023 4:16:21"
"*04qsa*",3,1,25,"G","Jalen Brunson","NY","Sternhold","Oct 4, 2023 5:58:55"
"*042nm*",3,2,26,"F","Pascal Siakam","TOR","Zooexpress","Oct 4, 2023 6:05:25"
"*05uid*",3,3,27,"C","Evan Mobley","CLE","Ascension","Oct 4, 2023 8:06:40"
"*03ad3*",3,4,28,"C","Karl-Anthony Towns","MIN","PullUpShootin","Oct 4, 2023 8:33:24"
"*051ol*",3,5,29,"G","Darius Garland","CLE","HK Kings","Oct 4, 2023 10:09:21"
"*04qrj*",3,6,30,"C","Jaren Jackson","MEM","Axiom_28_Points","Oct 4, 2023 10:22:28"
"*04qrn*",3,7,31,"F","Mikal Bridges","BKN","NewStarburySmell","Oct 4, 2023 11:48:30"
"*03el5*",3,8,32,"F","Kristaps Porzingis","BOS","Dem Juggalo$","Oct 5, 2023 12:55:37"
"*04ewf*",3,9,33,"C","Bam Adebayo","MIA","Pittsburgh Force","Oct 5, 2023 2:26:42"
"*051p8*",3,10,34,"G","Jordan Poole","WAS","LucaB7","Oct 5, 2023 5:18:50"
"*05qt3*",3,11,35,"G","Desmond Bane","MEM","KnockOut","Oct 5, 2023 7:45:19"
"*01uyj*",3,12,36,"F","Paul George","LAC","Big Nik Energy","Oct 5, 2023 9:11:25"
"*03ams*",4,1,37,"G","Zach LaVine","CHI","Big Nik Energy","Oct 5, 2023 9:11:38"
"*042n4*",4,2,38,"G","Jamal Murray","DEN","KnockOut","Oct 5, 2023 9:18:44"
"*04azw*",4,3,39,"F","Lauri Markkanen","UTA","LucaB7","Oct 5, 2023 11:28:55"
"*042nq*",4,4,40,"G","Dejounte Murray","ATL","Pittsburgh Force","Oct 5, 2023 12:10:36"
"*04848*",4,5,41,"G","Fred VanVleet","HOU","Dem Juggalo$","Oct 5, 2023 1:08:40"
"*03lls*",4,6,42,"F","Jaylen Brown","BOS","NewStarburySmell","Oct 5, 2023 3:04:56"
"*01eon*",4,7,43,"G","DeMar DeRozan","CHI","Axiom_28_Points","Oct 5, 2023 3:14:18"
"*051oh*",4,8,44,"F","Zion Williamson","NO","HK Kings","Oct 5, 2023 5:00:17"
"*06cch*",4,9,45,"F","Victor Wembanyama","SA","PullUpShootin","Oct 5, 2023 7:12:12"
"*03ajv*",4,10,46,"F","Julius Randle","NY","Ascension","Oct 5, 2023 7:15:56"
"*05qsq*",4,11,47,"G","Tyrese Maxey","PHI","Zooexpress","Oct 5, 2023 7:42:14"
"*03ad2*",4,12,48,"C","Myles Turner","IND","Sternhold","Oct 5, 2023 10:24:45"
"*051pb*",5,1,49,"C","Nicolas Claxton","BKN","Sternhold","Oct 5, 2023 10:25:22"
"*05uie*",5,2,50,"F","Scottie Barnes","TOR","Zooexpress","Oct 5, 2023 10:25:23"
