"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","Where is Harden?","Oct 3, 2023 3:06:52"
"*03al2*",1,2,2,"C","Joel Embiid","PHI","Vice City Boys","Oct 3, 2023 5:23:51"
"*04kj6*",1,3,3,"G","Luka Doncic","DAL","keenfactor","Oct 3, 2023 5:45:37"
"*031m2*",1,4,4,"F","Giannis Antetokounmpo","MIL","Trsba","Oct 3, 2023 5:46:54"
"*05qtv*",1,5,5,"G","Tyrese Haliburton","IND","Mooloolaba Mosquitoes","Oct 3, 2023 5:55:44"
"*04qro*",1,6,6,"G","Shai Gilgeous-Alexander","OKC","Ball Out Boy","Oct 3, 2023 6:01:03"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","Cap10BlackSparrow","Oct 3, 2023 6:01:14"
"*02nf1*",1,8,8,"F","Anthony Davis","LAL","Frobe","Oct 3, 2023 8:49:59"
"*01enh*",1,9,9,"G","Stephen Curry","GS","Josh V","Oct 4, 2023 2:39:03"
"*001aw*",1,10,10,"F","Kevin Durant","PHO","Black Mamba","Oct 4, 2023 9:10:03"
"*05qto*",1,11,11,"G","LaMelo Ball","CHA","Bill Cosby’s Basketball Club","Oct 4, 2023 9:36:32"
"*042n7*",1,12,12,"C","Domantas Sabonis","SAC","jlui","Oct 4, 2023 11:48:38"
"*02nf6*",2,1,13,"G","Damian Lillard","MIL","jlui","Oct 4, 2023 12:07:42"
"*03nwm*",2,2,14,"G","Devin Booker","PHO","Bill Cosby’s Basketball Club","Oct 4, 2023 12:46:51"
"*05qug*",2,3,15,"G","Anthony Edwards","MIN","Black Mamba","Oct 4, 2023 7:47:25"
"*04ewe*",2,4,16,"G","Donovan Mitchell","CLE","Josh V","Oct 4, 2023 7:50:10"
"*04qrk*",2,5,17,"G","Trae Young","ATL","Frobe","Oct 4, 2023 8:31:41"
"*027oj*",2,6,18,"G","Kyrie Irving","DAL","Cap10BlackSparrow","Oct 5, 2023 1:47:45"
"*027pe*",2,7,19,"F","Jimmy Butler","MIA","Ball Out Boy","Oct 5, 2023 5:46:36"
"*0011e*",2,8,20,"F","LeBron James","LAL","Mooloolaba Mosquitoes","Oct 5, 2023 5:46:37"
"*04qsa*",2,9,21,"G","Jalen Brunson","NY","Trsba","Oct 5, 2023 6:26:47"
"*04qrn*",2,10,22,"F","Mikal Bridges","BKN","keenfactor","Oct 5, 2023 7:06:52"
"*04ewf*",2,11,23,"C","Bam Adebayo","MIA","Vice City Boys","Oct 5, 2023 7:26:40"
"*01eo6*",2,12,24,"G","James Harden","PHI","Where is Harden?","Oct 5, 2023 2:15:25"
"*027oz*",3,1,25,"F","Kawhi Leonard","LAC","jlui","Oct 5, 2023 2:55:53"
"*04qrj*",3,2,26,"C","Jaren Jackson","MEM","Bill Cosby’s Basketball Club","Oct 5, 2023 6:55:04"
"*03ad3*",3,3,27,"C","Karl-Anthony Towns","MIN","Black Mamba","Oct 5, 2023 7:48:56"
"*042nm*",3,4,28,"F","Pascal Siakam","TOR","Josh V","Oct 6, 2023 2:17:10"
"*049kb*",3,5,29,"G","De'Aaron Fox","SAC","Frobe","Oct 6, 2023 9:01:30"
"*042n4*",3,6,30,"G","Jamal Murray","DEN","Cap10BlackSparrow","Oct 6, 2023 9:01:44"
"*042nq*",3,7,31,"G","Dejounte Murray","ATL","Ball Out Boy","Oct 6, 2023 9:14:58"
"*03ajv*",3,8,32,"F","Julius Randle","NY","Mooloolaba Mosquitoes","Oct 6, 2023 11:31:02"
"*05uib*",3,9,33,"G","Cade Cunningham","DET","Trsba","Oct 6, 2023 12:22:14"
"*03ams*",3,10,34,"G","Zach LaVine","CHI","keenfactor","Oct 6, 2023 12:50:43"
"*04azw*",3,11,35,"F","Lauri Markkanen","UTA","Vice City Boys","Oct 6, 2023 2:44:23"
"*01uyj*",3,12,36,"F","Paul George","LAC","Where is Harden?","Oct 6, 2023 7:34:59"
"*03lls*",4,1,37,"F","Jaylen Brown","BOS","Where is Harden?","Oct 7, 2023 12:44:16"
"*051oh*",4,2,38,"F","Zion Williamson","NO","Vice City Boys","Oct 7, 2023 7:36:47"
"*05uid*",4,3,39,"C","Evan Mobley","CLE","keenfactor","Oct 7, 2023 7:45:58"
"*06cch*",4,4,40,"F","Victor Wembanyama","SA","Trsba","Oct 7, 2023 7:47:35"
"*051ol*",4,5,41,"G","Darius Garland","CLE","Mooloolaba Mosquitoes","Oct 7, 2023 1:53:15"
"*04848*",4,6,42,"G","Fred VanVleet","HOU","Ball Out Boy","Oct 7, 2023 2:09:37"
"*051p8*",4,7,43,"G","Jordan Poole","WAS","Cap10BlackSparrow","Oct 7, 2023 2:09:48"
"*049kd*",4,8,44,"C","Deandre Ayton","POR","Frobe","Oct 7, 2023 3:26:27"
"*05uie*",4,9,45,"F","Scottie Barnes","TOR","Josh V","Oct 7, 2023 3:27:43"
"*05qt3*",4,10,46,"G","Desmond Bane","MEM","Black Mamba","Oct 7, 2023 7:15:23"
"*051oi*",4,11,47,"G","Ja Morant","MEM","Bill Cosby’s Basketball Club","Oct 8, 2023 2:15:56"
"*01eon*",4,12,48,"G","DeMar DeRozan","CHI","jlui","Oct 8, 2023 3:14:55"
"*05qsq*",5,1,49,"G","Tyrese Maxey","PHI","jlui","Oct 8, 2023 3:36:56"
"*051pb*",5,2,50,"C","Nicolas Claxton","BKN","Bill Cosby’s Basketball Club","Oct 8, 2023 4:03:47"
