"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","New Team 115","Oct 3, 2023 2:01:31"
"*04kj6*",1,2,2,"G","Luka Doncic","DAL","Load Management","Oct 3, 2023 5:33:23"
"*03al2*",1,3,3,"C","Joel Embiid","PHI","Seaport Celtics","Oct 3, 2023 6:00:37"
"*05qtv*",1,4,4,"G","Tyrese Haliburton","IND","Lord Grim (P)","Oct 3, 2023 6:05:24"
"*031m2*",1,5,5,"F","Giannis Antetokounmpo","MIL","Emerald City Elevate","Oct 3, 2023 9:09:46"
"*04qro*",1,6,6,"G","Shai Gilgeous-Alexander","OKC","monkeyispointskemon","Oct 3, 2023 9:09:48"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","Moore Coffee","Oct 4, 2023 4:10:20"
"*02nf6*",1,8,8,"G","Damian Lillard","MIL","Maximum Michael Bolton","Oct 4, 2023 8:22:20"
"*02nf1*",1,9,9,"F","Anthony Davis","LAL","Pool Boys","Oct 4, 2023 8:32:01"
"*05qto*",1,10,10,"G","LaMelo Ball","CHA","Team Name Pending","Oct 4, 2023 9:42:44"
"*01enh*",1,11,11,"G","Stephen Curry","GS","Izi Does It","Oct 4, 2023 10:02:56"
"*042n7*",1,12,12,"C","Domantas Sabonis","SAC","New Team 94","Oct 4, 2023 10:34:52"
"*001aw*",2,1,13,"F","Kevin Durant","PHO","New Team 94","Oct 4, 2023 10:35:23"
"*03nwm*",2,2,14,"G","Devin Booker","PHO","Izi Does It","Oct 4, 2023 10:53:06"
"*05qug*",2,3,15,"G","Anthony Edwards","MIN","Team Name Pending","Oct 4, 2023 1:05:43"
"*04qrk*",2,4,16,"G","Trae Young","ATL","Pool Boys","Oct 4, 2023 1:56:44"
"*027oj*",2,5,17,"G","Kyrie Irving","DAL","Maximum Michael Bolton","Oct 4, 2023 2:02:16"
"*0011e*",2,6,18,"F","LeBron James","LAL","Moore Coffee","Oct 4, 2023 2:05:31"
"*04ewe*",2,7,19,"G","Donovan Mitchell","CLE","monkeyispointskemon","Oct 4, 2023 2:06:08"
"*01eo6*",2,8,20,"G","James Harden","PHI","Emerald City Elevate","Oct 4, 2023 2:14:50"
"*049kb*",2,9,21,"G","De'Aaron Fox","SAC","Lord Grim (P)","Oct 4, 2023 3:19:58"
"*04qrn*",2,10,22,"F","Mikal Bridges","BKN","Seaport Celtics","Oct 4, 2023 3:56:25"
"*042nm*",2,11,23,"F","Pascal Siakam","TOR","Load Management","Oct 4, 2023 4:10:58"
"*027pe*",2,12,24,"F","Jimmy Butler","MIA","New Team 115","Oct 4, 2023 6:38:11"
"*04azw*",3,1,25,"F","Lauri Markkanen","UTA","New Team 94","Oct 4, 2023 6:44:29"
"*051oh*",3,2,26,"F","Zion Williamson","NO","Izi Does It","Oct 4, 2023 6:44:30"
"*05uib*",3,3,27,"G","Cade Cunningham","DET","Team Name Pending","Oct 4, 2023 7:45:57"
"*027oz*",3,4,28,"F","Kawhi Leonard","LAC","Pool Boys","Oct 4, 2023 8:54:26"
"*04qsa*",3,5,29,"G","Jalen Brunson","NY","Maximum Michael Bolton","Oct 4, 2023 10:46:43"
"*01uyj*",3,6,30,"F","Paul George","LAC","Moore Coffee","Oct 5, 2023 5:46:51"
"*05qt3*",3,7,31,"G","Desmond Bane","MEM","monkeyispointskemon","Oct 5, 2023 5:46:56"
"*03ams*",3,8,32,"G","Zach LaVine","CHI","Emerald City Elevate","Oct 5, 2023 6:11:15"
"*04qrj*",3,9,33,"C","Jaren Jackson","MEM","Lord Grim (P)","Oct 5, 2023 6:31:29"
"*03lls*",3,10,34,"F","Jaylen Brown","BOS","Seaport Celtics","Oct 5, 2023 9:44:23"
"*03ad3*",3,11,35,"C","Karl-Anthony Towns","MIN","Load Management","Oct 5, 2023 3:10:08"
"*04ewf*",3,12,36,"C","Bam Adebayo","MIA","New Team 115","Oct 5, 2023 8:21:58"
"*04848*",4,1,37,"G","Fred VanVleet","HOU","New Team 115","Oct 5, 2023 8:47:40"
"*03ajv*",4,2,38,"F","Julius Randle","NY","Load Management","Oct 5, 2023 9:23:06"
"*05uid*",4,3,39,"C","Evan Mobley","CLE","Seaport Celtics","Oct 6, 2023 12:45:42"
"*042nq*",4,4,40,"G","Dejounte Murray","ATL","Lord Grim (P)","Oct 6, 2023 5:37:50"
"*01eon*",4,5,41,"G","DeMar DeRozan","CHI","Emerald City Elevate","Oct 6, 2023 7:51:10"
"*051pb*",4,6,42,"C","Nicolas Claxton","BKN","monkeyispointskemon","Oct 6, 2023 7:58:23"
