"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","Vibealldaye","Oct 3, 2023 2:09:05"
"*04kj6*",1,2,2,"G","Luka Doncic","DAL","Tag Team","Oct 3, 2023 2:11:22"
"*03al2*",1,3,3,"C","Joel Embiid","PHI","Greenfield Grizzlies","Oct 3, 2023 2:13:17"
"*04qro*",1,4,4,"G","Shai Gilgeous-Alexander","OKC","SaxyKnifeMan.com","Oct 3, 2023 2:37:45"
"*031m2*",1,5,5,"F","Giannis Antetokounmpo","MIL","4DTwins","Oct 3, 2023 2:40:14"
"*05qtv*",1,6,6,"G","Tyrese Haliburton","IND","POINTS TEAM HD4K","Oct 3, 2023 2:40:43"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","I Can't Believe It's not Butler!","Oct 3, 2023 2:43:25"
"*02nf6*",1,8,8,"G","Damian Lillard","MIL","Double Cheeked Up","Oct 3, 2023 2:49:54"
"*001aw*",1,9,9,"F","Kevin Durant","PHO","whale529","Oct 3, 2023 3:15:50"
"*01enh*",1,10,10,"G","Stephen Curry","GS","Orangeads team","Oct 3, 2023 3:29:30"
"*02nf1*",1,11,11,"F","Anthony Davis","LAL","Mills on Wheels","Oct 3, 2023 3:31:49"
"*027oj*",1,12,12,"G","Kyrie Irving","DAL","Hip2Clip","Oct 3, 2023 3:40:52"
"*027oz*",2,1,13,"F","Kawhi Leonard","LAC","Hip2Clip","Oct 3, 2023 3:40:55"
"*042n7*",2,2,14,"C","Domantas Sabonis","SAC","Mills on Wheels","Oct 3, 2023 3:44:31"
"*05qto*",2,3,15,"G","LaMelo Ball","CHA","Orangeads team","Oct 3, 2023 3:46:22"
"*04qrk*",2,4,16,"G","Trae Young","ATL","whale529","Oct 3, 2023 3:58:47"
"*05qug*",2,5,17,"G","Anthony Edwards","MIN","Double Cheeked Up","Oct 3, 2023 4:03:41"
"*04ewe*",2,6,18,"G","Donovan Mitchell","CLE","I Can't Believe It's not Butler!","Oct 3, 2023 6:04:27"
"*03nwm*",2,7,19,"G","Devin Booker","PHO","POINTS TEAM HD4K","Oct 3, 2023 6:27:55"
"*0011e*",2,8,20,"F","LeBron James","LAL","4DTwins","Oct 3, 2023 7:31:06"
"*01eo6*",2,9,21,"G","James Harden","PHI","SaxyKnifeMan.com","Oct 3, 2023 7:54:00"
"*042nm*",2,10,22,"F","Pascal Siakam","TOR","Greenfield Grizzlies","Oct 3, 2023 7:57:37"
"*027pe*",2,11,23,"F","Jimmy Butler","MIA","Tag Team","Oct 3, 2023 8:15:31"
"*042n4*",2,12,24,"G","Jamal Murray","DEN","Vibealldaye","Oct 4, 2023 12:46:51"
"*01uyj*",3,1,25,"F","Paul George","LAC","Hip2Clip","Oct 4, 2023 7:27:34"
"*04qsa*",3,2,26,"G","Jalen Brunson","NY","Mills on Wheels","Oct 4, 2023 10:06:05"
"*049kb*",3,3,27,"G","De'Aaron Fox","SAC","Orangeads team","Oct 4, 2023 11:54:15"
"*04ewf*",3,4,28,"C","Bam Adebayo","MIA","whale529","Oct 4, 2023 11:55:12"
"*051oh*",3,5,29,"F","Zion Williamson","NO","Double Cheeked Up","Oct 4, 2023 12:24:52"
"*03ad3*",3,6,30,"C","Karl-Anthony Towns","MIN","I Can't Believe It's not Butler!","Oct 4, 2023 1:04:08"
"*05uib*",3,7,31,"G","Cade Cunningham","DET","POINTS TEAM HD4K","Oct 4, 2023 1:09:26"
"*04qrn*",3,8,32,"F","Mikal Bridges","BKN","4DTwins","Oct 4, 2023 1:44:15"
"*04848*",3,9,33,"G","Fred VanVleet","HOU","SaxyKnifeMan.com","Oct 4, 2023 1:48:07"
"*03ams*",3,10,34,"G","Zach LaVine","CHI","Greenfield Grizzlies","Oct 4, 2023 1:50:20"
"*04qrj*",3,11,35,"C","Jaren Jackson","MEM","Tag Team","Oct 4, 2023 3:05:01"
"*05uid*",3,12,36,"C","Evan Mobley","CLE","Vibealldaye","Oct 4, 2023 3:10:16"
"*051p8*",4,1,37,"G","Jordan Poole","WAS","Vibealldaye","Oct 4, 2023 3:11:01"
"*04azw*",4,2,38,"F","Lauri Markkanen","UTA","Tag Team","Oct 4, 2023 3:34:03"
"*05qt3*",4,3,39,"G","Desmond Bane","MEM","Greenfield Grizzlies","Oct 4, 2023 3:35:26"
"*03ajv*",4,4,40,"F","Julius Randle","NY","SaxyKnifeMan.com","Oct 4, 2023 3:35:34"
"*042nq*",4,5,41,"G","Dejounte Murray","ATL","4DTwins","Oct 4, 2023 3:36:54"
"*06cch*",4,6,42,"F","Victor Wembanyama","SA","POINTS TEAM HD4K","Oct 4, 2023 3:47:37"
"*03el5*",4,7,43,"F","Kristaps Porzingis","BOS","I Can't Believe It's not Butler!","Oct 4, 2023 3:57:12"
"*03lls*",4,8,44,"F","Jaylen Brown","BOS","Double Cheeked Up","Oct 4, 2023 3:57:43"
"*051ol*",4,9,45,"G","Darius Garland","CLE","whale529","Oct 4, 2023 4:26:37"
"*051pb*",4,10,46,"C","Nicolas Claxton","BKN","Orangeads team","Oct 4, 2023 4:35:24"
"*01eon*",4,11,47,"G","DeMar DeRozan","CHI","Mills on Wheels","Oct 4, 2023 4:39:48"
"*027p0*",4,12,48,"C","Nikola Vucevic","CHI","Hip2Clip","Oct 4, 2023 6:17:54"
"*042n1*",5,1,49,"F","Brandon Ingram","NO","Hip2Clip","Oct 4, 2023 6:21:21"
"*049kd*",5,2,50,"C","Deandre Ayton","POR","Mills on Wheels","Oct 4, 2023 7:17:29"
"*051oi*",5,3,51,"G","Ja Morant","MEM","Orangeads team","Oct 4, 2023 11:56:39"
"*02nf3*",5,4,52,"G","Bradley Beal","PHO","whale529","Oct 4, 2023 11:56:42"
"*05qsq*",5,5,53,"G","Tyrese Maxey","PHI","Double Cheeked Up","Oct 4, 2023 11:56:50"
"*05uiq*",5,6,54,"C","Alperen Sengun","HOU","I Can't Believe It's not Butler!","Oct 5, 2023 3:47:35"
"*03ad2*",5,7,55,"C","Myles Turner","IND","POINTS TEAM HD4K","Oct 5, 2023 5:36:20"
"*06211*",5,8,56,"F","Chet Holmgren","OKC","4DTwins","Oct 5, 2023 6:19:20"
"*06210*",5,9,57,"F","Paolo Banchero","ORL","SaxyKnifeMan.com","Oct 5, 2023 6:22:17"
"*0621l*",5,10,58,"C","Walker Kessler","UTA","Greenfield Grizzlies","Oct 5, 2023 8:16:16"
"*05uig*",5,11,59,"G","Josh Giddey","OKC","Tag Team","Oct 5, 2023 12:18:22"
"*05uie*",5,12,60,"F","Scottie Barnes","TOR","Vibealldaye","Oct 5, 2023 1:06:26"
"*05qtr*",6,1,61,"G","Devin Vassell","SA","Vibealldaye","Oct 5, 2023 1:09:10"
"*0621e*",6,2,62,"C","Mark Williams","CHA","Tag Team","Oct 5, 2023 1:25:06"
"*01eo9*",6,3,63,"G","Jrue Holiday","BOS","Greenfield Grizzlies","Oct 5, 2023 1:25:30"
"*04qs1*",6,4,64,"G","Anfernee Simons","POR","SaxyKnifeMan.com","Oct 5, 2023 1:28:29"
"*04ewr*",6,5,65,"F","Kyle Kuzma","WAS","4DTwins","Oct 5, 2023 2:16:43"
"*051ot*",6,6,66,"G","Tyler Herro","MIA","POINTS TEAM HD4K","Oct 5, 2023 2:54:21"
"*0621b*",6,7,67,"G","Jalen Williams","OKC","I Can't Believe It's not Butler!","Oct 5, 2023 3:32:41"
"*04ewm*",6,8,68,"C","Jarrett Allen","CLE","Double Cheeked Up","Oct 5, 2023 3:58:51"
"*04ewn*",6,9,69,"F","OG Anunoby","TOR","whale529","Oct 5, 2023 4:00:20"
"*05uii*",6,10,70,"F","Franz Wagner","ORL","Orangeads team","Oct 5, 2023 4:11:17"
"*0017e*",6,11,71,"G","Chris Paul","GS","Mills on Wheels","Oct 5, 2023 6:11:29"
"*005ki*",6,12,72,"C","Brook Lopez","MIL","Hip2Clip","Oct 5, 2023 6:19:56"
"*06cdn*",7,1,73,"G","Scoot Henderson","POR","Hip2Clip","Oct 5, 2023 6:20:09"
"*042n6*",7,2,74,"C","Jakob Poeltl","TOR","Mills on Wheels","Oct 5, 2023 7:17:36"
"*03aq2*",7,3,75,"F","Jerami Grant","POR","Orangeads team","Oct 5, 2023 7:38:20"
"*051or*",7,4,76,"F","Cameron Johnson","BKN","whale529","Oct 5, 2023 7:39:07"
"*02xg9*",7,5,77,"C","Rudy Gobert","MIN","Double Cheeked Up","Oct 5, 2023 9:02:27"
"*05uic*",7,6,78,"G","Jalen Green","HOU","I Can't Believe It's not Butler!","Oct 6, 2023 3:05:03"
"*031lx*",7,7,79,"G","CJ McCollum","NO","POINTS TEAM HD4K","Oct 6, 2023 6:01:14"
"*03nwl*",7,8,80,"G","Terry Rozier","CHA","4DTwins","Oct 6, 2023 7:47:40"
"*02ng3*",7,9,81,"F","Khris Middleton","MIL","SaxyKnifeMan.com","Oct 6, 2023 7:50:24"
"*03lg1*",7,10,82,"G","Ben Simmons","BKN","Greenfield Grizzlies","Oct 6, 2023 8:47:10"
"*02nfz*",7,11,83,"F","Draymond Green","GS","Tag Team","Oct 6, 2023 1:02:54"
"*04qrp*",7,12,84,"F","Miles Bridges","CHA","Vibealldaye","Oct 6, 2023 1:52:12"
"*005kc*",8,1,85,"G","Russell Westbrook","LAC","Vibealldaye","Oct 6, 2023 1:54:25"
"*03ad0*",8,2,86,"G","Tyus Jones","WAS","Tag Team","Oct 6, 2023 2:01:30"
"*0621c*",8,3,87,"C","Jalen Duren","DET","Greenfield Grizzlies","Oct 6, 2023 2:02:10"
"*04qrl*",8,4,88,"C","Wendell Carter","ORL","SaxyKnifeMan.com","Oct 6, 2023 2:08:19"
"*049s6*",8,5,89,"G","Markelle Fultz","ORL","4DTwins","Oct 6, 2023 2:10:30"
"*05uus*",8,6,90,"G","Austin Reaves","LAL","POINTS TEAM HD4K","Oct 6, 2023 2:15:33"
"*05qtq*",8,7,91,"G","Tre Jones","SA","I Can't Believe It's not Butler!","Oct 6, 2023 3:04:26"
"*027ou*",8,8,92,"G","Klay Thompson","GS","Double Cheeked Up","Oct 6, 2023 3:04:27"
