"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","Space Jam","Oct 3, 2023 2:11:58"
"*04kj6*",1,2,2,"G","Luka Doncic","DAL","Seattle Seat Sniffers","Oct 3, 2023 2:22:34"
"*03al2*",1,3,3,"C","Joel Embiid","PHI","Kareem ya Mum","Oct 3, 2023 2:24:33"
"*031m2*",1,4,4,"F","Giannis Antetokounmpo","MIL","Redeem Team","Oct 3, 2023 2:26:42"
"*04qro*",1,5,5,"G","Shai Gilgeous-Alexander","OKC","LOSO","Oct 3, 2023 2:27:23"
"*05qtv*",1,6,6,"G","Tyrese Haliburton","IND","Knights Of Nee","Oct 3, 2023 5:42:14"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","Memphis Dons","Oct 3, 2023 7:09:13"
"*001aw*",1,8,8,"F","Kevin Durant","PHO","TMT","Oct 3, 2023 7:11:06"
"*05qto*",1,9,9,"G","LaMelo Ball","CHA","Dr. Sauce","Oct 4, 2023 1:21:44"
"*02nf1*",1,10,10,"F","Anthony Davis","LAL","LA S.W.A.T.","Oct 4, 2023 6:01:11"
"*05qug*",1,11,11,"G","Anthony Edwards","MIN","Lawnboy19","Oct 4, 2023 10:14:21"
"*042n7*",1,12,12,"C","Domantas Sabonis","SAC","Trapo e' Bola","Oct 4, 2023 1:18:39"
"*04qrk*",2,1,13,"G","Trae Young","ATL","Trapo e' Bola","Oct 4, 2023 2:01:08"
"*02nf6*",2,2,14,"G","Damian Lillard","MIL","Lawnboy19","Oct 4, 2023 3:45:15"
"*01enh*",2,3,15,"G","Stephen Curry","GS","LA S.W.A.T.","Oct 4, 2023 7:24:32"
"*04ewe*",2,4,16,"G","Donovan Mitchell","CLE","Dr. Sauce","Oct 4, 2023 10:06:20"
"*027oj*",2,5,17,"G","Kyrie Irving","DAL","TMT","Oct 4, 2023 10:10:39"
"*03nwm*",2,6,18,"G","Devin Booker","PHO","Memphis Dons","Oct 5, 2023 3:32:49"
