"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","monty please play jaden ivey","Oct 3, 2023 2:04:01"
"*04kj6*",1,2,2,"G","Luka Doncic","DAL","The Drunk Koalas","Oct 3, 2023 2:04:58"
"*03al2*",1,3,3,"C","Joel Embiid","PHI","Juice Mode","Oct 3, 2023 2:06:19"
"*05qtv*",1,4,4,"G","Tyrese Haliburton","IND","JB's Hi-Fi's","Oct 3, 2023 5:11:18"
"*031m2*",1,5,5,"F","Giannis Antetokounmpo","MIL","Poole Party","Oct 3, 2023 5:28:28"
"*04qro*",1,6,6,"G","Shai Gilgeous-Alexander","OKC","LA Cruisers","Oct 3, 2023 5:28:47"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","Individuals with Melanin in Paris","Oct 3, 2023 5:30:40"
"*02nf1*",1,8,8,"F","Anthony Davis","LAL","One Eyebrow Giga Chad Investment Guru","Oct 3, 2023 8:32:28"
"*01enh*",1,9,9,"G","Stephen Curry","GS","Mad Hatters 🧢","Oct 4, 2023 3:32:59"
"*05qug*",1,10,10,"G","Anthony Edwards","MIN","Wait I Thought This Was Fantasy Football","Oct 4, 2023 5:06:49"
"*001aw*",1,11,11,"F","Kevin Durant","PHO","Ja Morant Guns for Hire","Oct 4, 2023 5:09:34"
"*05qto*",1,12,12,"G","LaMelo Ball","CHA","JORDAN","Oct 4, 2023 6:15:12"
"*042n7*",2,1,13,"C","Domantas Sabonis","SAC","JORDAN","Oct 4, 2023 6:15:22"
"*04qrk*",2,2,14,"G","Trae Young","ATL","Ja Morant Guns for Hire","Oct 4, 2023 6:25:13"
"*04qrn*",2,3,15,"F","Mikal Bridges","BKN","Wait I Thought This Was Fantasy Football","Oct 4, 2023 6:36:05"
"*03nwm*",2,4,16,"G","Devin Booker","PHO","Mad Hatters 🧢","Oct 4, 2023 1:36:34"
"*02nf6*",2,5,17,"G","Damian Lillard","MIL","One Eyebrow Giga Chad Investment Guru","Oct 4, 2023 3:04:35"
"*027oj*",2,6,18,"G","Kyrie Irving","DAL","Individuals with Melanin in Paris","Oct 4, 2023 3:08:32"
"*04ewe*",2,7,19,"G","Donovan Mitchell","CLE","LA Cruisers","Oct 4, 2023 3:14:45"
"*04qsa*",2,8,20,"G","Jalen Brunson","NY","Poole Party","Oct 4, 2023 3:49:19"
"*042nm*",2,9,21,"F","Pascal Siakam","TOR","JB's Hi-Fi's","Oct 4, 2023 9:09:13"
"*049kb*",2,10,22,"G","De'Aaron Fox","SAC","Juice Mode","Oct 4, 2023 9:22:43"
"*01eo6*",2,11,23,"G","James Harden","PHI","The Drunk Koalas","Oct 4, 2023 9:22:45"
"*05uib*",2,12,24,"G","Cade Cunningham","DET","monty please play jaden ivey","Oct 4, 2023 9:27:57"
"*042nq*",3,1,25,"G","Dejounte Murray","ATL","JORDAN","Oct 4, 2023 9:37:12"
"*0011e*",3,2,26,"F","LeBron James","LAL","Ja Morant Guns for Hire","Oct 4, 2023 10:39:52"
"*05uid*",3,3,27,"C","Evan Mobley","CLE","Wait I Thought This Was Fantasy Football","Oct 5, 2023 5:38:00"
"*027pe*",3,4,28,"F","Jimmy Butler","MIA","Mad Hatters 🧢","Oct 5, 2023 12:38:15"
"*04ewf*",3,5,29,"C","Bam Adebayo","MIA","One Eyebrow Giga Chad Investment Guru","Oct 5, 2023 2:48:04"
"*027oz*",3,6,30,"F","Kawhi Leonard","LAC","Individuals with Melanin in Paris","Oct 5, 2023 2:51:59"
"*01uyj*",3,7,31,"F","Paul George","LAC","LA Cruisers","Oct 5, 2023 5:03:55"
"*04qrj*",3,8,32,"C","Jaren Jackson","MEM","Poole Party","Oct 5, 2023 11:02:24"
"*03lls*",3,9,33,"F","Jaylen Brown","BOS","JB's Hi-Fi's","Oct 6, 2023 12:15:06"
"*05qt3*",3,10,34,"G","Desmond Bane","MEM","Juice Mode","Oct 6, 2023 12:15:07"
"*03ad3*",3,11,35,"C","Karl-Anthony Towns","MIN","The Drunk Koalas","Oct 6, 2023 12:30:59"
"*051ol*",3,12,36,"G","Darius Garland","CLE","monty please play jaden ivey","Oct 6, 2023 7:31:08"
"*03ajv*",4,1,37,"F","Julius Randle","NY","monty please play jaden ivey","Oct 6, 2023 7:55:58"
"*051oh*",4,2,38,"F","Zion Williamson","NO","The Drunk Koalas","Oct 6, 2023 8:01:50"
"*03ams*",4,3,39,"G","Zach LaVine","CHI","Juice Mode","Oct 6, 2023 8:23:35"
"*04848*",4,4,40,"G","Fred VanVleet","HOU","JB's Hi-Fi's","Oct 6, 2023 9:49:48"
"*051pb*",4,5,41,"C","Nicolas Claxton","BKN","Poole Party","Oct 6, 2023 12:55:48"
"*06cch*",4,6,42,"F","Victor Wembanyama","SA","LA Cruisers","Oct 6, 2023 1:08:43"
"*04azw*",4,7,43,"F","Lauri Markkanen","UTA","Individuals with Melanin in Paris","Oct 6, 2023 1:08:46"
"*042n4*",4,8,44,"G","Jamal Murray","DEN","One Eyebrow Giga Chad Investment Guru","Oct 6, 2023 1:51:25"
"*01eon*",4,9,45,"G","DeMar DeRozan","CHI","Mad Hatters 🧢","Oct 6, 2023 8:41:26"
"*05uig*",4,10,46,"G","Josh Giddey","OKC","Wait I Thought This Was Fantasy Football","Oct 6, 2023 8:45:16"
"*05uiq*",4,11,47,"C","Alperen Sengun","HOU","Ja Morant Guns for Hire","Oct 6, 2023 8:46:09"
"*027p0*",4,12,48,"C","Nikola Vucevic","CHI","JORDAN","Oct 6, 2023 10:24:50"
"*06210*",5,1,49,"F","Paolo Banchero","ORL","JORDAN","Oct 6, 2023 10:24:57"
"*051oi*",5,2,50,"G","Ja Morant","MEM","Ja Morant Guns for Hire","Oct 6, 2023 10:31:04"
"*0621l*",5,3,51,"C","Walker Kessler","UTA","Wait I Thought This Was Fantasy Football","Oct 7, 2023 5:31:12"
"*05qsq*",5,4,52,"G","Tyrese Maxey","PHI","Mad Hatters 🧢","Oct 7, 2023 12:31:43"
"*042n1*",5,5,53,"F","Brandon Ingram","NO","One Eyebrow Giga Chad Investment Guru","Oct 7, 2023 4:39:09"
"*04qs1*",5,6,54,"G","Anfernee Simons","POR","Individuals with Melanin in Paris","Oct 7, 2023 5:16:19"
"*049kd*",5,7,55,"C","Deandre Ayton","POR","LA Cruisers","Oct 7, 2023 8:18:43"
"*051p8*",5,8,56,"G","Jordan Poole","WAS","Poole Party","Oct 7, 2023 8:19:10"
"*03ad2*",5,9,57,"C","Myles Turner","IND","JB's Hi-Fi's","Oct 7, 2023 10:37:05"
"*01eo9*",5,10,58,"G","Jrue Holiday","BOS","Juice Mode","Oct 7, 2023 10:37:06"
"*05uie*",5,11,59,"F","Scottie Barnes","TOR","The Drunk Koalas","Oct 8, 2023 1:40:41"
"*03el5*",5,12,60,"F","Kristaps Porzingis","BOS","monty please play jaden ivey","Oct 8, 2023 7:13:31"
"*04ewr*",6,1,61,"F","Kyle Kuzma","WAS","monty please play jaden ivey","Oct 8, 2023 9:40:16"
"*04ewn*",6,2,62,"F","OG Anunoby","TOR","The Drunk Koalas","Oct 8, 2023 10:03:14"
"*02nf3*",6,3,63,"G","Bradley Beal","PHO","Juice Mode","Oct 8, 2023 10:06:09"
"*06211*",6,4,64,"F","Chet Holmgren","OKC","JB's Hi-Fi's","Oct 8, 2023 4:32:36"
"*05uii*",6,5,65,"F","Franz Wagner","ORL","Poole Party","Oct 8, 2023 4:39:19"
"*051ot*",6,6,66,"G","Tyler Herro","MIA","LA Cruisers","Oct 8, 2023 5:05:39"
"*042n6*",6,7,67,"C","Jakob Poeltl","TOR","Individuals with Melanin in Paris","Oct 8, 2023 5:48:41"
"*04ewm*",6,8,68,"C","Jarrett Allen","CLE","One Eyebrow Giga Chad Investment Guru","Oct 8, 2023 5:49:04"
"*05qtr*",6,9,69,"G","Devin Vassell","SA","Mad Hatters 🧢","Oct 9, 2023 12:50:06"
"*031lx*",6,10,70,"G","CJ McCollum","NO","Wait I Thought This Was Fantasy Football","Oct 9, 2023 5:12:02"
"*02xg9*",6,11,71,"C","Rudy Gobert","MIN","Ja Morant Guns for Hire","Oct 9, 2023 5:36:38"
"*03nwl*",6,12,72,"G","Terry Rozier","CHA","JORDAN","Oct 9, 2023 9:04:09"
"*0621b*",7,1,73,"G","Jalen Williams","OKC","JORDAN","Oct 9, 2023 9:04:14"
"*03aq2*",7,2,74,"F","Jerami Grant","POR","Ja Morant Guns for Hire","Oct 9, 2023 10:10:41"
"*03ad0*",7,3,75,"G","Tyus Jones","WAS","Wait I Thought This Was Fantasy Football","Oct 9, 2023 10:11:26"
"*03e6s*",7,4,76,"C","Clint Capela","ATL","Mad Hatters 🧢","Oct 9, 2023 5:11:42"
"*03e74*",7,5,77,"G","Spencer Dinwiddie","BKN","One Eyebrow Giga Chad Investment Guru","Oct 9, 2023 5:51:40"
"*049s6*",7,6,78,"G","Markelle Fultz","ORL","Individuals with Melanin in Paris","Oct 9, 2023 6:20:36"
"*06cdn*",7,7,79,"G","Scoot Henderson","POR","LA Cruisers","Oct 9, 2023 7:21:55"
"*0017e*",7,8,80,"G","Chris Paul","GS","Poole Party","Oct 9, 2023 9:58:39"
"*027ou*",7,9,81,"G","Klay Thompson","GS","JB's Hi-Fi's","Oct 9, 2023 10:54:53"
"*02ng3*",7,10,82,"F","Khris Middleton","MIL","Juice Mode","Oct 9, 2023 11:32:00"
"*05uic*",7,11,83,"G","Jalen Green","HOU","The Drunk Koalas","Oct 10, 2023 12:07:30"
"*051or*",7,12,84,"F","Cameron Johnson","BKN","monty please play jaden ivey","Oct 10, 2023 7:02:49"
"*04qrl*",8,1,85,"C","Wendell Carter","ORL","monty please play jaden ivey","Oct 10, 2023 7:24:39"
"*0621e*",8,2,86,"C","Mark Williams","CHA","The Drunk Koalas","Oct 10, 2023 8:34:26"
"*05uus*",8,3,87,"G","Austin Reaves","LAL","Juice Mode","Oct 10, 2023 8:55:35"
"*051pi*",8,4,88,"F","Daniel Gafford","WAS","JB's Hi-Fi's","Oct 10, 2023 10:24:08"
"*05qtq*",8,5,89,"G","Tre Jones","SA","Poole Party","Oct 10, 2023 12:10:59"
"*02ym0*",8,6,90,"F","Andrew Wiggins","GS","LA Cruisers","Oct 10, 2023 2:38:03"
"*03ad4*",8,7,91,"G","D'Angelo Russell","LAL","Individuals with Melanin in Paris","Oct 10, 2023 2:46:18"
"*02nfz*",8,8,92,"F","Draymond Green","GS","One Eyebrow Giga Chad Investment Guru","Oct 10, 2023 4:12:56"
"*005kc*",8,9,93,"G","Russell Westbrook","LAC","Mad Hatters 🧢","Oct 10, 2023 11:14:36"
"*06212*",8,10,94,"F","Jabari Smith","HOU","Wait I Thought This Was Fantasy Football","Oct 11, 2023 4:31:57"
"*005ki*",8,11,95,"C","Brook Lopez","MIL","Ja Morant Guns for Hire","Oct 11, 2023 4:57:11"
"*03al0*",8,12,96,"F","Aaron Gordon","DEN","JORDAN","Oct 11, 2023 5:58:34"
"*03lg1*",9,1,97,"G","Ben Simmons","BKN","JORDAN","Oct 11, 2023 5:58:39"
"*04qrp*",9,2,98,"F","Miles Bridges","CHA","Ja Morant Guns for Hire","Oct 11, 2023 6:00:02"
"*05qtt*",9,3,99,"C","Onyeka Okongwu","ATL","Wait I Thought This Was Fantasy Football","Oct 11, 2023 6:57:13"
"*04ewc*",9,4,100,"F","Zach Collins","SA","Mad Hatters 🧢","Oct 11, 2023 1:57:39"
"*027p4*",9,5,101,"F","Tobias Harris","PHI","One Eyebrow Giga Chad Investment Guru","Oct 11, 2023 3:04:02"
"*0621c*",9,6,102,"C","Jalen Duren","DET","Individuals with Melanin in Paris","Oct 11, 2023 3:21:08"
"*04qsj*",9,7,103,"G","Bruce Brown","IND","LA Cruisers","Oct 11, 2023 3:31:07"
"*03al1*",9,8,104,"G","Marcus Smart","MEM","Poole Party","Oct 11, 2023 3:31:26"
"*04qrr*",9,9,105,"F","Michael Porter","DEN","JB's Hi-Fi's","Oct 11, 2023 5:16:09"
"*06213*",9,10,106,"F","Keegan Murray","SAC","Juice Mode","Oct 11, 2023 5:27:04"
"*05qu9*",9,11,107,"G","Immanuel Quickley","NY","The Drunk Koalas","Oct 11, 2023 5:35:57"
"*06214*",9,12,108,"G","Jaden Ivey","DET","monty please play jaden ivey","Oct 11, 2023 7:30:46"
"*03e6n*",10,1,109,"C","Jusuf Nurkic","PHO","monty please play jaden ivey","Oct 11, 2023 7:36:11"
"*04ewk*",10,2,110,"F","John Collins","UTA","The Drunk Koalas","Oct 11, 2023 7:36:13"
"*06ccf*",10,3,111,"F","Ausar Thompson","DET","Juice Mode","Oct 11, 2023 7:50:58"
"*03byk*",10,4,112,"G","Jordan Clarkson","UTA","JB's Hi-Fi's","Oct 11, 2023 8:58:31"
"*051p9*",10,5,113,"F","Keldon Johnson","SA","Poole Party","Oct 11, 2023 9:03:14"
"*06ca8*",10,6,114,"F","Amen Thompson","HOU","LA Cruisers","Oct 11, 2023 10:07:47"
"*04qsd*",10,7,115,"C","Mitchell Robinson","NY","Individuals with Melanin in Paris","Oct 11, 2023 10:28:32"
"*042n3*",10,8,116,"G","Buddy Hield","IND","One Eyebrow Giga Chad Investment Guru","Oct 12, 2023 4:32:09"
"*04ewu*",10,9,117,"G","Josh Hart","NY","Mad Hatters 🧢","Oct 12, 2023 11:24:53"
"*04ewt*",10,10,118,"G","Derrick White","BOS","Wait I Thought This Was Fantasy Football","Oct 12, 2023 12:48:11"
"*051oj*",10,11,119,"G","RJ Barrett","NY","Ja Morant Guns for Hire","Oct 12, 2023 12:49:46"
"*0015e*",10,12,120,"G","Mike Conley","MIN","JORDAN","Oct 12, 2023 6:29:16"
"*03nwn*",11,1,121,"F","Bobby Portis","MIL","JORDAN","Oct 12, 2023 6:29:21"
"*051os*",11,2,122,"F","P.J. Washington","CHA","Ja Morant Guns for Hire","Oct 12, 2023 6:33:08"
"*027oo*",11,3,123,"C","Jonas Valanciunas","NO","Wait I Thought This Was Fantasy Football","Oct 12, 2023 7:09:32"
"*031lz*",11,4,124,"C","Steven Adams","MEM","Mad Hatters 🧢","Oct 13, 2023 2:09:53"
"*03aq3*",11,5,125,"F","Kyle Anderson","MIN","One Eyebrow Giga Chad Investment Guru","Oct 13, 2023 9:10:07"
"*0621g*",11,6,126,"F","Tari Eason","HOU","Individuals with Melanin in Paris","Oct 13, 2023 9:10:10"
"*03nwq*",11,7,127,"F","Christian Wood","LAL","LA Cruisers","Oct 13, 2023 10:24:35"
"*06216*",11,8,128,"G","Shaedon Sharpe","POR","Poole Party","Oct 13, 2023 10:31:30"
"*04qrw*",11,9,129,"G","Kevin Huerter","SAC","JB's Hi-Fi's","Oct 13, 2023 12:44:43"
"*04qs4*",11,10,130,"C","Robert Williams","POR","Juice Mode","Oct 13, 2023 12:46:48"
"*05qst*",11,11,131,"F","Paul Reed","PHI","The Drunk Koalas","Oct 13, 2023 12:54:46"
"*04qrm*",11,12,132,"G","Collin Sexton","UTA","monty please play jaden ivey","Oct 13, 2023 1:10:57"
"*06215*",12,1,133,"G","Bennedict Mathurin","IND","monty please play jaden ivey","Oct 13, 2023 1:20:15"
"*04qsm*",12,2,134,"G","De'Anthony Melton","PHI","The Drunk Koalas","Oct 13, 2023 1:48:08"
"*03ad7*",12,3,135,"F","Kevon Looney","GS","Juice Mode","Oct 13, 2023 1:51:51"
"*06cca*",12,4,136,"F","Brandon Miller","CHA","JB's Hi-Fi's","Oct 13, 2023 2:55:29"
"*05qt0*",12,5,137,"F","Saddiq Bey","ATL","Poole Party","Oct 13, 2023 3:31:55"
"*05uiz*",12,6,138,"G","Quentin Grimes","NY","LA Cruisers","Oct 13, 2023 4:35:49"
"*027pg*",12,7,139,"F","Bojan Bogdanovic","DET","Individuals with Melanin in Paris","Oct 13, 2023 5:12:29"
"*05qtj*",12,8,140,"F","Deni Avdija","WAS","One Eyebrow Giga Chad Investment Guru","Oct 13, 2023 7:07:28"
"*06218*",12,9,141,"F","Jeremy Sochan","SA","Mad Hatters 🧢","Oct 14, 2023 2:07:41"
"*05qu0*",12,10,142,"F","Jaden McDaniels","MIN","Wait I Thought This Was Fantasy Football","Oct 14, 2023 5:52:56"
"*04qse*",12,11,143,"G","Gary Trent","TOR","Ja Morant Guns for Hire","Oct 14, 2023 6:09:09"
"*01uz7*",12,12,144,"F","Gordon Hayward","CHA","JORDAN","Oct 14, 2023 10:04:57"
"*031m4*",13,1,145,"G","Dennis Schroder","TOR","JORDAN","Oct 14, 2023 10:05:01"
"*05qsx*",13,2,146,"F","Obi Toppin","IND","Ja Morant Guns for Hire","Oct 14, 2023 10:31:05"
"*031lv*",13,3,147,"G","Kentavious Caldwell-Pope","DEN","Wait I Thought This Was Fantasy Football","Oct 14, 2023 10:41:34"
"*042nt*",13,4,148,"C","Ivica Zubac","LAC","Mad Hatters 🧢","Oct 14, 2023 5:42:29"
"*042nw*",13,5,149,"G","Malcolm Brogdon","POR","One Eyebrow Giga Chad Investment Guru","Oct 14, 2023 6:06:30"
"*05uiu*",13,6,150,"F","Jalen Johnson","ATL","Individuals with Melanin in Paris","Oct 14, 2023 10:23:40"
"*0527h*",13,7,151,"C","Naz Reid","MIN","LA Cruisers","Oct 15, 2023 3:27:10"
"*042nf*",13,8,152,"G","Caris LeVert","CLE","Poole Party","Oct 15, 2023 10:10:48"
"*000zv*",13,9,153,"C","Al Horford","BOS","JB's Hi-Fi's","Oct 15, 2023 10:56:58"
"*051on*",13,10,154,"G","Coby White","CHI","Juice Mode","Oct 15, 2023 10:57:46"
"*06cab*",13,11,155,"F","Jarace Walker","IND","The Drunk Koalas","Oct 15, 2023 11:05:43"
"*05uih*",13,12,156,"F","Jonathan Kuminga","GS","monty please play jaden ivey","Oct 15, 2023 11:18:24"
"*03e6u*",14,1,157,"G","Bogdan Bogdanovic","ATL","monty please play jaden ivey","Oct 15, 2023 11:19:47"
"*03r7z*",14,2,158,"G","Norman Powell","LAC","The Drunk Koalas","Oct 15, 2023 11:28:20"
"*05qsl*",14,3,159,"F","Patrick Williams","CHI","Juice Mode","Oct 15, 2023 11:29:29"
"*05uir*",14,4,160,"F","Trey Murphy","NO","JB's Hi-Fi's","Oct 15, 2023 1:12:23"
"*05qtl*",14,5,161,"G","Cole Anthony","ORL","Poole Party","Oct 15, 2023 1:18:36"
"*03nwk*",14,6,162,"F","Kelly Oubre Jr.","PHI","LA Cruisers","Oct 15, 2023 2:45:28"
"*05uif*",14,7,163,"G","Jalen Suggs","ORL","Individuals with Melanin in Paris","Oct 15, 2023 3:10:28"
"*05qt9*",14,8,164,"G","Killian Hayes","DET","One Eyebrow Giga Chad Investment Guru","Oct 15, 2023 3:11:58"
