"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","Strong Latte","Oct 3, 2023 2:00:06"
"*03al2*",1,2,2,"C","Joel Embiid","PHI","Rap","Oct 3, 2023 4:10:30"
"*04kj6*",1,3,3,"G","Luka Doncic","DAL","HandsOffMyCaw","Oct 3, 2023 7:36:01"
"*031m2*",1,4,4,"F","Giannis Antetokounmpo","MIL","Keegan's Right Hand","Oct 3, 2023 9:18:52"
"*04qro*",1,5,5,"G","Shai Gilgeous-Alexander","OKC","St. Quintin’s Sinner’s","Oct 4, 2023 12:18:06"
"*05qtv*",1,6,6,"G","Tyrese Haliburton","IND","Quad City Mallards","Oct 4, 2023 5:51:02"
"*03xmv*",1,7,7,"F","Jayson Tatum","BOS","We Happy All The Time","Oct 4, 2023 7:39:11"
"*02nf1*",1,8,8,"F","Anthony Davis","LAL","Lowry expectations","Oct 4, 2023 1:05:13"
"*05qto*",1,9,9,"G","LaMelo Ball","CHA","The Money Team","Oct 4, 2023 1:06:10"
"*05qug*",1,10,10,"G","Anthony Edwards","MIN","PointsTown","Oct 4, 2023 1:27:36"
"*02nf6*",1,11,11,"G","Damian Lillard","MIL","Zim’s Squad","Oct 4, 2023 2:21:38"
"*01enh*",1,12,12,"G","Stephen Curry","GS","Too Wet","Oct 4, 2023 2:37:45"
"*001aw*",2,1,13,"F","Kevin Durant","PHO","Too Wet","Oct 4, 2023 2:38:28"
"*042n7*",2,2,14,"C","Domantas Sabonis","SAC","Zim’s Squad","Oct 4, 2023 2:41:29"
"*027oj*",2,3,15,"G","Kyrie Irving","DAL","PointsTown","Oct 4, 2023 3:04:15"
"*04qrk*",2,4,16,"G","Trae Young","ATL","The Money Team","Oct 4, 2023 3:04:48"
"*03nwm*",2,5,17,"G","Devin Booker","PHO","Lowry expectations","Oct 4, 2023 3:14:47"
"*04ewe*",2,6,18,"G","Donovan Mitchell","CLE","We Happy All The Time","Oct 4, 2023 4:30:04"
"*01eo6*",2,7,19,"G","James Harden","PHI","Quad City Mallards","Oct 4, 2023 4:30:19"
"*04qrn*",2,8,20,"F","Mikal Bridges","BKN","St. Quintin’s Sinner’s","Oct 4, 2023 4:59:31"
"*0011e*",2,9,21,"F","LeBron James","LAL","Keegan's Right Hand","Oct 4, 2023 5:05:54"
"*042nm*",2,10,22,"F","Pascal Siakam","TOR","HandsOffMyCaw","Oct 4, 2023 9:30:32"
"*027oz*",2,11,23,"F","Kawhi Leonard","LAC","Rap","Oct 4, 2023 11:12:47"
"*03ajv*",2,12,24,"F","Julius Randle","NY","Strong Latte","Oct 4, 2023 11:12:48"
"*042n4*",3,1,25,"G","Jamal Murray","DEN","Too Wet","Oct 4, 2023 11:58:22"
"*027pe*",3,2,26,"F","Jimmy Butler","MIA","Zim’s Squad","Oct 5, 2023 4:14:51"
"*03ad3*",3,3,27,"C","Karl-Anthony Towns","MIN","PointsTown","Oct 5, 2023 6:36:19"
"*04azw*",3,4,28,"F","Lauri Markkanen","UTA","The Money Team","Oct 5, 2023 1:19:13"
"*01uyj*",3,5,29,"F","Paul George","LAC","Lowry expectations","Oct 5, 2023 2:05:03"
"*04ewf*",3,6,30,"C","Bam Adebayo","MIA","We Happy All The Time","Oct 5, 2023 2:23:18"
"*04qrj*",3,7,31,"C","Jaren Jackson","MEM","Quad City Mallards","Oct 5, 2023 2:23:47"
"*04848*",3,8,32,"G","Fred VanVleet","HOU","St. Quintin’s Sinner’s","Oct 5, 2023 6:24:13"
"*049kb*",3,9,33,"G","De'Aaron Fox","SAC","Keegan's Right Hand","Oct 5, 2023 6:27:22"
"*05uib*",3,10,34,"G","Cade Cunningham","DET","HandsOffMyCaw","Oct 5, 2023 11:17:24"
"*051oh*",3,11,35,"F","Zion Williamson","NO","Rap","Oct 5, 2023 11:25:36"
"*04qsa*",3,12,36,"G","Jalen Brunson","NY","Strong Latte","Oct 5, 2023 11:25:37"
