"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (PST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","Korean Abdul-Jabbar","Oct 3, 2023 2:00:56"
"*03al2*",1,2,2,"C","Joel Embiid","PHI","Slayden","Oct 3, 2023 2:04:05"
"*031m2*",1,3,3,"F","Giannis Antetokounmpo","MIL","Tobias and The Never Nudes","Oct 3, 2023 3:33:09"
"*03xmv*",1,4,4,"F","Jayson Tatum","BOS","Ramos","Oct 3, 2023 4:41:35"
"*04qro*",1,5,5,"G","Shai Gilgeous-Alexander","OKC","Sliding Door ii-V's","Oct 3, 2023 5:25:02"
"*04kj6*",1,6,6,"G","Luka Doncic","DAL","Rustlin Jimmies","Oct 3, 2023 7:01:04"
"*05qtv*",1,7,7,"G","Tyrese Haliburton","IND","Goose bumps","Oct 3, 2023 7:12:08"
"*01enh*",1,8,8,"G","Stephen Curry","GS","K1an","Oct 3, 2023 7:21:27"
"*02nf6*",1,9,9,"G","Damian Lillard","MIL","Bored Man","Oct 4, 2023 12:11:04"
"*02nf1*",1,10,10,"F","Anthony Davis","LAL","Fried Nuggets","Oct 4, 2023 12:23:47"
"*001aw*",1,11,11,"F","Kevin Durant","PHO","Larry, Curry, & Zo","Oct 4, 2023 3:53:20"
"*05qto*",1,12,12,"G","LaMelo Ball","CHA","Copenhagen Wildcats","Oct 4, 2023 4:00:09"
"*042n7*",2,1,13,"C","Domantas Sabonis","SAC","Copenhagen Wildcats","Oct 4, 2023 4:00:16"
"*027oj*",2,2,14,"G","Kyrie Irving","DAL","Larry, Curry, & Zo","Oct 4, 2023 4:08:29"
"*05qug*",2,3,15,"G","Anthony Edwards","MIN","Fried Nuggets","Oct 4, 2023 5:25:13"
"*04ewe*",2,4,16,"G","Donovan Mitchell","CLE","Bored Man","Oct 4, 2023 8:00:31"
"*03nwm*",2,5,17,"G","Devin Booker","PHO","K1an","Oct 4, 2023 8:02:51"
"*04qrk*",2,6,18,"G","Trae Young","ATL","Goose bumps","Oct 4, 2023 8:35:25"
"*0011e*",2,7,19,"F","LeBron James","LAL","Rustlin Jimmies","Oct 4, 2023 9:15:31"
"*04qrn*",2,8,20,"F","Mikal Bridges","BKN","Sliding Door ii-V's","Oct 4, 2023 9:39:37"
"*01eo6*",2,9,21,"G","James Harden","PHI","Ramos","Oct 4, 2023 9:49:50"
"*049kb*",2,10,22,"G","De'Aaron Fox","SAC","Tobias and The Never Nudes","Oct 4, 2023 9:53:23"
"*027oz*",2,11,23,"F","Kawhi Leonard","LAC","Slayden","Oct 4, 2023 10:11:19"
"*05uib*",2,12,24,"G","Cade Cunningham","DET","Korean Abdul-Jabbar","Oct 4, 2023 11:48:06"
"*042nm*",3,1,25,"F","Pascal Siakam","TOR","Copenhagen Wildcats","Oct 4, 2023 1:26:20"
"*03ad3*",3,2,26,"C","Karl-Anthony Towns","MIN","Larry, Curry, & Zo","Oct 4, 2023 2:02:04"
"*027pe*",3,3,27,"F","Jimmy Butler","MIA","Fried Nuggets","Oct 4, 2023 3:35:47"
"*04ewf*",3,4,28,"C","Bam Adebayo","MIA","Bored Man","Oct 4, 2023 4:23:29"
"*04azw*",3,5,29,"F","Lauri Markkanen","UTA","K1an","Oct 4, 2023 5:26:57"
"*05uid*",3,6,30,"C","Evan Mobley","CLE","Goose bumps","Oct 4, 2023 5:45:39"
"*051oh*",3,7,31,"F","Zion Williamson","NO","Rustlin Jimmies","Oct 4, 2023 6:19:55"
"*042n4*",3,8,32,"G","Jamal Murray","DEN","Sliding Door ii-V's","Oct 4, 2023 6:29:26"
"*03lls*",3,9,33,"F","Jaylen Brown","BOS","Ramos","Oct 4, 2023 7:08:37"
"*042nq*",3,10,34,"G","Dejounte Murray","ATL","Tobias and The Never Nudes","Oct 4, 2023 7:12:00"
"*04qsa*",3,11,35,"G","Jalen Brunson","NY","Slayden","Oct 4, 2023 7:18:05"
"*051ol*",3,12,36,"G","Darius Garland","CLE","Korean Abdul-Jabbar","Oct 4, 2023 7:28:14"
