player,team,num_picks,average_pick
Cameron Thomas,BKN,10,175.2
Jevon Carter,CHI,6,176
Malik Monk,SAC,10,177.7
Kenyon Martin,LAC,5,177.8
Bilal Coulibaly,WAS,9,177.8888889
Alec Burks,DET,1,178
Kyle Lowry,MIA,10,178.5
Olivier-Maxence Prosper,DAL,1,181
Jarred Vanderbilt,LAL,7,181.1428571
Max Strus,CLE,10,184.1
Grant Williams,DAL,10,184.6
Moritz Wagner,ORL,1,185
Kris Dunn,UTA,9,187.1111111
Rui Hachimura,LAL,10,187.5
MarJon Beauchamp,MIL,3,187.6666667
Delon Wright,WAS,9,188.4444444
Anthony Black,ORL,2,188.5
Robert Covington,LAC,5,190.2
Drew Eubanks,PHO,10,190.3
Isaiah Jackson,IND,10,190.5
Shake Milton,MIN,9,190.7777778
T.J. McConnell,IND,9,191.1111111
Killian Hayes,DET,8,191.125
AJ Griffin,ATL,5,192
Andrew Nembhard,IND,10,192.2
Chris Boucher,TOR,1,193
Alex Caruso,CHI,5,193
James Wiseman,DET,7,193.2857143
Luguentz Dort,OKC,10,193.8
Corey Kispert,WAS,8,194.125
Charles Bassey,SA,6,194.1666667
Isaiah Hartenstein,NY,6,194.3333333
Santi Aldama,MEM,8,194.375
Andre Drummond,CHI,6,194.8333333
Jonathan Isaac,ORL,6,195
Luke Kennard,MEM,7,195.1428571
Christian Braun,DEN,10,195.8
Terance Mann,LAC,6,196.1666667
Payton Pritchard,BOS,8,196.25
Caleb Martin,MIA,9,197
Marvin Bagley,DET,7,197.5714286
Donte DiVincenzo,NY,8,198.375
Cameron Payne,MIL,2,198.5
Nikola Jovic,MIA,2,198.5
Matisse Thybulle,POR,4,198.5
Aleksandar Vezenkov,SAC,5,198.8
Dyson Daniels,NO,5,198.8
Tim Hardaway,DAL,6,200.1666667
Peyton Watson,DEN,4,200.75
Vasilije Micic,OKC,1,201
Dennis Smith,BKN,2,201
Josh Okogie,PHO,4,201
Josh Green,DAL,6,201.8333333
Emoni Bates,CLE,1,202
Taylor Hendricks,UTA,1,202
Xavier Tillman,MEM,8,202.125
Mason Plumlee,LAC,6,202.3333333
Malik Beasley,MIL,8,202.625
Bones Hyland,LAC,6,202.6666667
Gabe Vincent,LAL,5,202.8
Nick Richards,CHA,8,203.25
Ayo Dosunmu,CHI,2,203.5
Royce O'Neale,BKN,2,203.5
Julian Strawther,DEN,2,204
Grayson Allen,PHO,4,204
Moses Moody,GS,2,204.5
Dario Saric,GS,1,205
Larry Nance,NO,2,205
Jaime Jaquez,MIA,2,205.5
Kevin Porter,(N/A),4,206.25
Trayce Jackson-Davis,GS,1,207
Patrick Beverley,PHI,1,208
Chris Duarte,SAC,1,209
Day'Ron Sharpe,BKN,1,209
Derrick Rose,MEM,1,210
Taurean Prince,LAL,2,210
Brandon Clarke,MEM,1,211
Malaki Branham,SA,1,212
Cam Whitmore,HOU,3,212.3333333
Eric Gordon,PHO,1,213
Thomas Bryant,MIA,1,213
Ochai Agbaji,UTA,1,214
Danilo Gallinari,WAS,1,215
Monte Morris,DET,1,215
David Roddy,MEM,1,216
