Name,Team,Pos,AVG,ESPN,CBS,Yahoo,Underdog,Fantrax,ESPN AAV,Status,Injury,Year
Paul Zipser,FA,F,139.3,139.25,-,-,-,-,-1.0,,,21
T.J. Warren,FA,F,130.5,139.33,94.71,139,148.8,-,-1.0,,,21
Jordan Poole,WAS,G,109.4,139.34,123.82,73.4,100.9,-,0.07,,,21
Dirk Nowitzki,FA,F,139.4,139.38,-,-,-,-,0.02,,,21
Marvin Bagley,DET,C,135.5,139.41,108.86,130.4,163.2,-,0.11,,,21
Saddiq Bey,ATL,F,111,139.45,111.3,89.5,103.7,-,0.06,,,21
Stephen Zimmerman,FA,C,139.5,139.45,-,-,-,-,-1.0,,,21
Josh Hart,NYK,F,152.8,139.46,150.05,138.9,182.9,-,0.12,,,21
Immanuel Quickley,NYK,G,164.8,139.46,-,-,190.2,-,0.02,,,21
Alec Burks,DET,G,155.3,139.47,-,134.3,192,-,0.07,,,21
Metta World Peace,FA,F,139.5,139.49,-,-,-,-,0.01,,,21
Paul Millsap,FA,F,165.6,139.51,-,-,191.7,-,0.07,,,21
Vince Carter,FA,F,139.6,139.55,-,-,-,-,0.01,,,21
Luguentz Dort,OKC,F,144,139.57,143.53,142.8,149.9,-,0.06,,,21
Kentavious Caldwell-Pope,DEN,G,154.2,139.58,-,131.1,191.8,-,0.16,,,21
Boban Marjanovic,FA,C,139.6,139.59,-,-,-,-,0.05,,,21
Isaac Bonga,FA,F,139.6,139.6,-,-,-,-,-1.0,,,21
DeAndre' Bembry,FA,F,165.8,139.6,-,-,192,-,-1.0,,,21
Kevin Garnett,FA,F,139.6,139.62,-,-,-,-,-1.0,,,21
Patrick Williams,CHI,F,145,139.62,162.27,135.3,142.8,-,0.07,,,21
Jeff Teague,FA,G,139.7,139.65,-,-,-,-,-1.0,,,21
Jae'Sean Tate,HOU,F,129.7,139.65,118.21,143.4,117.5,-,0.02,,,21
Shake Milton,MIN,G,165.8,139.66,-,-,191.9,-,0.06,,,21
Derrick Jones,DAL,F,139.7,139.66,-,-,-,-,0.07,,,21
Royce O'Neale,BKN,F,155.6,139.67,-,-,171.5,-,0.1,,,21
Andre Iguodala,FA,F,165.7,139.68,-,-,191.8,-,0.03,,,21
Cristiano Felicio,FA,C,139.7,139.68,-,-,-,-,-1.0,,,21
Obi Toppin,IND,F,146,139.68,-,119.6,178.7,-,-1.0,,,21
Alize Johnson,FA,F,165.8,139.69,-,-,192,-,-1.0,,,21
Rade Zagorac,FA,F,139.7,139.69,-,-,-,-,-1.0,,,21
Wang Zhelin,FA,C,139.7,139.69,-,-,-,-,-1.0,,,21
Spencer Dinwiddie,BKN,G,95.4,139.7,59,114.3,68.5,-,0.02,,,21
Moses Brown,POR,C,165.8,139.7,-,-,191.8,-,0.05,,,21
Patric Young,FA,C,139.7,139.71,-,-,-,-,-1.0,,,21
Patrick Beverley,PHI,G,158.4,139.71,-,143.8,191.7,-,0.11,,,21
Jaren Jackson,MEM,F,78.9,139.71,64.63,44.9,66.3,-,0.06,,,21
Furkan Korkmaz,PHI,G,139.7,139.71,-,-,-,-,-1.0,,,21
Marc Gasol,FA,C,165.8,139.71,-,-,191.9,-,0.06,,,21
James Young,FA,G,139.7,139.72,-,-,-,-,0.01,,,21
Meyers Leonard,FA,C,139.7,139.72,-,-,-,-,0.01,,,21
Jakob Poeltl,TOR,C,107.5,139.72,115.62,70.9,103.9,-,0.16,,,21
Tony Wroten,FA,G,139.7,139.72,-,-,-,-,-1.0,,,21
Rodney Hood,FA,G,139.7,139.72,-,-,-,-,-1.0,,,21
Brandan Wright,FA,C,139.7,139.73,-,-,-,-,-1.0,,,21
Dwayne Bacon,FA,F,139.7,139.73,-,-,-,-,0.02,,,21
Robin Lopez,MIL,C,139.7,139.73,-,-,-,-,-1.0,,,21
Joel Anthony,FA,C,139.8,139.75,-,-,-,-,-1.0,,,21
Davis Bertans,OKC,F,165.7,139.75,-,-,191.6,-,0.07,,,21
Kyle Wiltjer,FA,F,139.8,139.75,-,-,-,-,-1.0,,,21
Paul Pierce,FA,F,139.8,139.76,-,-,-,-,-1.0,,,21
Frank Ntilikina,CHA,G,139.8,139.76,-,-,-,-,-1.0,,,21
Jevon Carter,CHI,G,139.8,139.76,-,-,-,-,-1.0,,,21
Yuta Watanabe,PHO,F,165.9,139.76,-,-,192,-,-1.0,,,21
Langston Galloway,FA,G,139.8,139.77,-,-,-,-,-1.0,,,21
Kelly Olynyk,UTA,C,133.1,139.77,128.83,130.4,133.5,-,0.07,,,21
Cameron Payne,SAS,G,165.5,139.77,-,-,191.2,-,-1.0,,,21
Matt Thomas,FA,G,139.8,139.77,-,-,-,-,-1.0,,,21
Amar'e Stoudemire,FA,C,139.8,139.78,-,-,-,-,-1.0,,,21
Joe Young,FA,G,139.8,139.78,-,-,-,-,0.01,,,21
Reggie Williams,FA,G,139.8,139.78,-,-,-,-,-1.0,,,21
Cedi Osman,SAS,F,165.8,139.78,-,-,191.9,-,0.07,,,21
Kevin Knox,FA,F,139.8,139.78,-,-,-,-,-1.0,,,21
Andre Ingram,FA,G,139.8,139.78,-,-,-,-,-1.0,,,21
Thomas Bryant,MIA,C,154.5,139.78,137.54,150,190.6,-,-1.0,,,21
Mitchell Watt,FA,F,139.8,139.78,-,-,-,-,-1.0,,,21
Kevon Looney,GSW,C,154.1,139.78,-,130.5,191.9,-,0.02,,,21
Kyle O'Quinn,FA,C,139.8,139.78,-,-,-,-,-1.0,,,21
Jalen Smith,IND,F,157.1,139.79,-,140.1,191.5,-,-1.0,,,21
Raul Neto,FA,G,139.8,139.79,-,-,-,-,-1.0,,,21
Nerlens Noel,SAC,C,165.4,139.79,-,-,191,-,0.11,,,21
Nic Claxton,BKN,C,157.8,139.79,-,142.4,191.1,-,-1.0,,,21
Shawn Long,FA,C,139.8,139.79,-,-,-,-,-1.0,,,21
Deni Avdija,WAS,F,165.7,139.79,-,-,191.6,-,0.03,,,21
Malachi Flynn,TOR,G,164.8,139.79,-,-,189.8,-,-1.0,,,21
Robert Woodard,FA,F,139.8,139.81,-,-,-,-,-1.0,,,21
Jontay Porter,FA,F,139.8,139.81,-,-,-,-,0.03,,,21
Bogdan Bogdanovic,ATL,G,111.7,139.81,98.59,96.1,112.4,-,0.03,,,21
Nate Wolters,FA,G,139.8,139.81,-,-,-,-,0.07,,,21
Mike Scott,FA,F,139.8,139.81,-,-,-,-,-1.0,,,21
JaVale McGee,SAC,C,157,139.81,-,139.3,191.8,-,0.07,,,21
Nigel Williams-Goss,FA,G,139.8,139.81,-,-,-,-,0.01,,,21
Justin Wright-Foreman,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
Quinndary Weatherspoon,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
Marcus Morris,LAC,F,135.8,139.82,132.72,136.3,134.2,-,0.07,,,21
Georges Niang,CLE,F,139.8,139.82,-,-,-,-,-1.0,,,21
Manu Ginobili,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
Mo Williams,FA,G,139.8,139.82,-,-,-,-,-1.0,,,21
Semi Ojeleye,FA,F,139.8,139.82,-,-,-,-,-1.0,,,21
Carsen Edwards,FA,G,139.8,139.83,-,-,-,-,-1.0,,,21
Brad Wanamaker,FA,G,139.8,139.83,-,-,-,-,0.01,,,21
Dante Exum,DAL,G,139.8,139.83,-,-,-,-,-1.0,,,21
Payton Pritchard,BOS,G,165.8,139.83,-,-,191.8,-,-1.0,,,21
Nate Robinson,FA,G,139.8,139.83,-,-,-,-,-1.0,,,21
Austin Rivers,FA,G,139.8,139.83,-,-,-,-,-1.0,,,21
Jeff Withey,FA,C,139.8,139.84,-,-,-,-,-1.0,,,21
Matisse Thybulle,POR,F,157.7,139.84,-,142.4,190.8,-,0.11,,,21
Dylan Windler,NYK,G,139.8,139.84,-,-,-,-,0.02,,,21
Cassius Winston,FA,G,139.8,139.84,-,-,-,-,-1.0,,,21
DeAndre Daniels,FA,F,139.9,139.85,-,-,-,-,-1.0,,,21
Torrey Craig,CHI,F,139.9,139.85,-,-,-,-,-1.0,,,21
Grant Williams,DAL,F,139.9,139.85,-,-,-,-,0.01,,,21
Patty Mills,ATL,G,150,139.85,149.79,120.3,190,-,0.07,,,21
Aaron Nesmith,IND,F,165.8,139.85,-,-,191.8,-,-1.0,,,21
Precious Achiuwa,TOR,C,137.3,139.85,-,141.4,130.6,-,-1.0,,,21
Ish Smith,FA,G,139.9,139.85,-,-,-,-,-1.0,,,21
Jeremy Lin,FA,G,139.9,139.86,-,-,-,-,0.01,,,21
J.R. Smith,FA,G,139.9,139.86,-,-,-,-,-1.0,,,21
Wesley Matthews,ATL,G,139.9,139.86,-,-,-,-,-1.0,,,21
Tristan Thompson,FA,C,165.6,139.86,-,-,191.4,-,0.06,,,21
Richard Jefferson,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
Gabe Vincent,LAL,G,139.9,139.87,-,-,-,-,-1.0,,,21
Brodric Thomas,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Elliot Williams,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Ben McLemore,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Stanley Johnson,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
Nico Mannion,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Juwan Morgan,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
Marshall Plumlee,FA,C,139.9,139.87,-,-,-,-,-1.0,,,21
D.J. Augustin,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Ersan Ilyasova,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
Kenyon Martin,LAC,F,161.3,139.87,-,-,182.7,-,-1.0,,,21
Derrick Williams,FA,F,139.9,139.87,-,-,-,-,-1.0,,,21
Garrison Mathews,ATL,G,139.9,139.87,-,-,-,-,-1.0,,,21
Landry Shamet,WAS,G,165.9,139.87,-,-,191.9,-,-1.0,,,21
Josh Okogie,PHO,F,165.9,139.87,-,-,192,-,-1.0,,,21
Tarik Black,FA,C,139.9,139.87,-,-,-,-,-1.0,,,21
Elijah Hughes,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Mason Jones,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Isaiah Thomas,FA,G,139.9,139.87,-,-,-,-,-1.0,,,21
Desmond Bane,MEM,G,136.1,139.87,153.08,62.1,189.3,-,-1.0,,,21
Deron Williams,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
JaKarr Sampson,FA,F,139.9,139.88,-,-,-,-,-1.0,,,21
Alfonzo McKinnie,FA,F,139.9,139.88,-,-,-,-,-1.0,,,21
Anderson Varejao,FA,C,165.9,139.88,-,-,191.9,-,-1.0,,,21
Timothe Luwawu-Cabarrot,FA,F,139.9,139.88,-,-,-,-,-1.0,,,21
Mo Bamba,PHI,C,123.4,139.88,118.89,110.4,124.6,-,0.04,,,21
Aaron Craft,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
Troy Brown,MIN,F,165.9,139.88,-,-,192,-,-1.0,,,21
Ed Davis,FA,C,139.9,139.88,-,-,-,-,-1.0,,,21
Tim Quarterman,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
Ognjen Jaramaz,FA,G,139.9,139.88,-,-,-,-,-1.0,,,21
Paul Reed,PHI,F,139.9,139.88,-,-,-,-,-1.0,,,21
Thanasis Antetokounmpo,MIL,F,139.9,139.88,-,-,-,-,0.02,,,21
Kendrick Perkins,FA,C,139.9,139.89,-,-,-,-,-1.0,,,21
Damien Wilkins,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
Tyrese Maxey,PHI,G,117,139.89,134.63,68.1,125.5,-,-1.0,,,21
Solomon Hill,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
Max Strus,CLE,F,165.8,139.89,-,-,191.7,-,-1.0,,,21
Steve Blake,FA,G,139.9,139.89,-,-,-,-,-1.0,,,21
Alpha Kaba,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
Jared Dudley,FA,F,139.9,139.89,-,-,-,-,-1.0,,,21
Rodney Stuckey,FA,G,139.9,139.89,-,-,-,-,-1.0,,,21
Ron Baker,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
Alex Kirk,FA,C,139.9,139.9,-,-,-,-,-1.0,,,21
Antonio Blakeney,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
David Stockton,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
Jarrod Uthoff,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
Pablo Prigioni,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
Matt Williams,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
Ryan Kelly,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
Beno Udrih,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
Jarnell Stokes,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
Willie Reed,FA,C,139.9,139.9,-,-,-,-,-1.0,,,21
Luke Babbitt,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
Skal Labissiere,SAC,C,139.9,139.9,-,-,-,-,-1.0,,,21
Wesley Johnson,FA,F,139.9,139.9,-,-,-,-,-1.0,,,21
Xavier Tillman,MEM,F,165.3,139.9,-,-,190.7,-,-1.0,,,21
Rayjon Tucker,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
Saben Lee,PHO,G,139.9,139.9,-,-,-,-,-1.0,,,21
Jahmi'us Ramsey,FA,G,139.9,139.9,-,-,-,-,-1.0,,,21
