,sci_name,c_name,dist,reprod,cons_status,length,weight,coords,avg_age,habitat
13,Chelonoidis guntheri,['Sierra Negra Giant Tortoise'],"Galapagos (Sierra Negra area of SE Albemarle = Isabela);

Type locality: “Galapagos.” Restricted to “Vilamil, Albemarle” [= Isabela, Galápagos, Ecuador] by Van Denburgh (1914:259).

wallacei: Galápagos (San Cristóbal); Type locality: “Chatham Island” [San Cristóbal, Galápagos, Ecuador] by supposition. Restricted to “Jervis” [Rábida, Galápagos, Ecuador] by Van Denburgh (1914:259).  ",oviparous ,CR,42,NA,"-0.8294421492723052, -91.17042918310342",120,island
14,Chelonoidis hoodensis,['Hood Island Giant Tortoise '],"Ecuador: Galapagos (Hood = Espanola)

Type locality: Hood Island [= Española].  ",oviparous ,CR,31,NA,"-1.37458951629525, -89.67422056330375",120,island
15,Chelonoidis microphyes,"['Volcán Darwin Giant Tortoise, Darwin Volcano Giant Tortoise, Tagus Cove Giant Tortoise ']","Ecuador: Galapagos (NC Albemarle = Isabela);

Type locality: originally “Hood’s Island” (GÜNTHER 1875, in error), then “Tagus Cove, northern Albemarle Island” (GÜNTHER 1877).  ",oviparous ,EN,43,NA,"-0.825950984112042, -91.13661323570855",120,island
16,Chelonoidis niger,"['Charles Island Giant Tortoise', 'G: Elefantenchildkröte; Galapagos-Riesenschildkröte ']","Ecuador (Galapagos: Charles [Floreana]

Type locality: ""Sandwich-Inseln"" (in error).  ",oviparous ,EX,40,NA,"-1.3063854344172834, -90.43293900496704",120,island
17,Chelonoidis phantasticus,['Narborough Island Giant Tortoise '],"Ecuador: Galapagos (Narborough = Fernandina)

Type locality: Narborough Island [= Fernandina].  ",oviparous ,CR,27,NA,"-0.39541054690512395, -91.50498450798759",120,island
18,Chelonoidis porteri,['Western Santa Cruz tortoise'],"Ecuador: Galapagos (Indefatigable = Santa Cruz)

Type locality: Indefatigable  ",oviparous ,CR,41,NA,"-0.6319265413793048, -90.36574511409202",120,island
19,Chelonoidis vandenburghi,"['Volcán Alcedo Giant Tortoise, Alcedo Volcano Giant Tortoise', 'guntheri: Sierra Negra Giant Tortoise ']","Ecuador: Galapagos (Volcan Alcedo on C Albemarle = Isabela);

Type locality: ""Cowley Mountain ... the first mountain north of Villamil Mountain"", Albemarle Island.  ",oviparous ,VU,43,NA,"-0.8149500137231072, -91.19857713560263",120,island
20,Chelonoidis vicina,['Isabela Island Giant Tortoise '],"Ecuador: Galapagos (S Albemarle = Isabela Island)

Type locality: Iguana Cove, South Albemarle Island [= Isabela].  ",oviparous ,EN,41,NA,"-0.8149500137231072, -91.19857713560263",120,island
21,Chersina angulata,"['South African Bowsprit Tortoise, Angulate Tortoise', 'G: Schnabelbrustschildkröte ']","Republic of South Africa (along the coastline of Cape Province, from East London westward to the mouth of the Orange River), Namibia (introduced fide LEVER 2003: 22).

Type locality: ""Patria ignota"" (= country unknown).  ",oviparous ,LC,8,1.9,"-30.944477125162727, 18.3385343103808",40,coastal
22,Chersobius boulengeri,['Donner-weer Tortoise '],"Republic of South Africa (Karroo Plain of Cape Province, South Africa), Namibia ?

Type locality: ""South Africa - Districts of Willowmore, Aberdeen, and Beaufort West"".  ",oviparous ,EN,4,0.3,"-27.404578680036696, 19.655980961725124",90,desert
23,Chersobius signatus,"['Speckled Cape Tortoise, Speckled Padloper ']","Republic of South Africa (Little Namaqualand, from Kleinzee and Springbok southward to Graafwater and Clanwilliam)

Type locality: unknown (fide WERMUTH & MERTENS 1977); designated as ""vicinity of Springbok. Cape Province, South Africa"" by Bour (1988:3)

cafer: near Clanwilliam and southwestward, Republic of South Africa]; Type locality: ""Cafrerie"" [= Kaffraria, Republic of South Africa], restricted to ""Drainage of the Olifants River, Cape Province, South Africa"" by Bour (1988a:3)  ",oviparous ,EN,3,0.3,"-30.977079132718398, 19.472934469684596",90,desert
24,Chersobius solus,"['Nama padloper, Berger’s Cape Tortoise ']","S Namibia (escarpment mountains near Aus, but with scattered records from other isolated mountains in the sand and gravel plains of the southern Namib Desert, e.g., the Kowiesberg near Luderitz, low granite hills 4-5 km SW from Tschaukaib siding (2615Da), and 2-3 km SE from Haalenberg siding)

Type locality: vicinity of Aus, Luderitz District, Namibia  ",oviparous ,VU,3,0.3,"-23.497947662114132, 16.693393465206476",90,desert
25,Geochelone elegans,"['(Indian) Star Tortoise', 'G: Indische Sternschildkröte ']","Pakistan, India (from Orissa in the east and Sind and Kutch in the west southward to the tip of the peninsula, Gujarat, Kerala, Tamil Nadu), Sri Lanka, and on other small offshore islands

Introduced to Florida (USA)

Type locality: ""India orientali"".  ",oviparous ,VU,10,5,"23.397595416173814, 77.38154483177422",80,grassland
26,Geochelone platynota,['Burmese Star Tortoise '],"Myanmar (= Burma) (from N Myanmar (= Burma) southward to Moulmein)

Type locality: ""Lower Pegu,"" Myanmar (= Burma); by Smith (1931:140), as ""Irrawaddy Valley"".  ",oviparous Temperature Dependent Sex Determination (TSD) ,CR,13,5,"22.195835490555105, 95.86330551746049",90,grassland
27,Gopherus agassizii,"['Agassiz’s Desert Tortoise, (Californian) Desert Tortoise', 'S: Galápago del Desierto ']","USA (S Nevada, SW California, W Arizona, New Mexico),
Mexico (N Baja California)

Xerobates lepidocephalus: Sierra San Vincente region, approx. 1.5 km north of the Buena Mujer Dam, 20 km (by air) south of La Paz, Baja California Sur, Mexico.

Type locality: mountains near Fort Mojave, California. Restricted to “California, San Bernardino County; Mountains of California, near Fort Mojave; Soda Valley (very approximately 35° 6' N, 116° 6' W), by MURPHY et al. 2011.  ",Oviparous Gopherus agassizii can hybridize with Gopherus berlandieri (Edwards et al 2010) Exhibits temperature‐dependent sex determination (TSD) fide Cornejo-Páramo et al 2020 (and references therein) ,VU,6,11,"34.19902094017563, -113.26721148677969",80,desert
28,Gopherus berlandieri,"['Texas (Gopher )Tortoise', 'S: Galápago de Berlandier ']","USA (S Texas south of Del Rio and San Antonio),
Mexico (E Coahuila, Nuevo Leon, Tamaulipas, Jalisco)

Type locality: Brownsville, Cameron County, Texas.  ",Gopherus agassizii can hybridize with Gopherus berlandieri (Edwards et al 2010) ,LC,8,NA,"28.268599992724884, -99.41753637565412",60,desert
29,Gopherus evgoodei,['Goode’s Thornscrub Tortoise '],"Mexico (Sonora, Sinaloa)

Type locality: Alamos (approximate location 27°02'N, 108°55'W, elevation 433 m), Sonora, Mexico  ", ,VU,10,NA,"32.0747556356417, -114.96405578933032",60,desert
30,Gopherus flavomarginatus,"['Mexican Gopher Tortoise, Bolson tortoise', 'G: Mexikanische Gopherschildkröte', 'S: Galápago de Bolsón ']","Mexico (Bolson de Mapimi, which borders on SE Chihuahua, SW Coahuila, and NE Durango)

Type locality: ""30 to 40 miles north from Lerdo, Durango, Mexico"".  ",oviparous ,CR,18,33,"27.4185192598778, -104.02920824268939",60,desert
31,Gopherus morafkai,['Morafka’s Desert Tortoise '],"USA (Arizona), Mexico (Sonora)

Type locality: Tucson (approximate location 32° 7' N, 110° 56' W, elevation 948 m), Pima County, Arizona  ",oviparous ,VU,15,NA,"32.154088887544695, -110.9634627722327",60,desert
32,Gopherus polyphemus,"['(Florida) Gopher Tortoise', 'G: Florida Gopherschildkröte ']","USA (along the Atlantic Coastal Plain in S South Carolina, Georgia, S Alabama, Florida, E Louisiana, Mississippi)

Type locality: vicinity of Savannah, Georgia (restricted by K.P. SCHMIDT 1953)  ",oviparous Exhibits temperature‐dependent sex determination (TSD) fide Cornejo-Páramo et al 2020 (and references therein) ,VU,10,13,"30.92133097095355, -82.18498927142295",60,desert
33,Homopus areolatus,"['Parrot-beaked Tortoise', 'G: Areolen-Flachschildkröte ']","Republic of South Africa (Cape Province, north to 31°S latitude)

Type locality: ""Indien"" (in error).  ",oviparous ,LC,4.3,0.6,"-32.79635459657977, 24.66665930245022",30,coastal
